"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610009B22Rik",349.665954004178,-0.507732786529277,0.0919137256096062,-5.52401486461139,3.31339412187543e-08,8.37111225667205e-07
"0610030E20Rik",396.435366984492,0.593035275538577,0.11087515274565,5.34867606359933,8.85999591504803e-08,1.97412591197535e-06
"0610037L13Rik",812.595290846373,-0.273224594105439,0.0763011544377221,-3.58087103817608,0.00034245065964749,0.00225813560513886
"0610040J01Rik",73.4531761928777,-0.604051403422725,0.190650833417937,-3.16836487201999,0.001532989936449,0.00777688389599167
"1110012L19Rik",167.741888107612,-0.420984841367118,0.16490663445756,-2.55286782579668,0.010684003176132,0.0379569756049588
"1110059E24Rik",160.231025360529,-0.562183588425345,0.131438476559825,-4.27716147614861,1.89291498903657e-05,0.000195626812761488
"1110059G10Rik",218.220650217235,-0.58519037369496,0.112272668752812,-5.21222466870686,1.86589378950864e-07,3.71356595997911e-06
"1200007C13Rik",22.1929650070803,3.50804495239592,0.708994357588203,4.94791660166281,7.50120334306678e-07,1.26972196122675e-05
"1500011K16Rik",413.474775482081,-0.677219014074454,0.15604415633271,-4.33991909719785,1.42535182434022e-05,0.000155659813201813
"1500015O10Rik",5.25067344719636,-3.83778871637813,1.08311043269424,-3.54330325009575,0.000395148037733223,0.00252818658717133
"1500017E21Rik",203.203354347697,-0.572482362006289,0.189354959492471,-3.02332911448803,0.00250010183317362,0.0117185085924743
"1600012H06Rik",279.104640511694,-0.463971289905589,0.137444804457392,-3.37569173121726,0.000736303685219023,0.00423735008605903
"1600014C10Rik",816.030952124654,-0.313062727635755,0.109020491940103,-2.8715952575939,0.00408405673078309,0.0174859403725545
"1700011I03Rik",4.72619885238121,5.52680698597519,1.53136895742835,3.60906296236828,0.000307305024189347,0.00207563291857454
"1700012D14Rik",23.0126772670753,0.938153132665961,0.334654569235733,2.80334774692743,0.00505751052020124,0.020758337352652
"1700017B05Rik",172.775204333339,0.608243736019939,0.168952136717864,3.60009496083293,0.000318100986743378,0.0021306632701019
"1700020D05Rik",5.15174143367302,1.89449746386675,0.755338865786728,2.50814243735959,0.0121367732513513,0.0420754318772749
"1700020I14Rik",6493.21240757302,-0.320178413035977,0.0927277510264067,-3.45288664387857,0.000554622014727614,0.00336404662504428
"1700021F05Rik",880.858320707925,-0.287368817709281,0.0982947855567557,-2.92354081736465,0.00346074848510967,0.0152750191552177
"1700029J07Rik",94.4288646122664,1.19802373825932,0.321181821393689,3.7300483976982,0.000191442993417549,0.00139809180811622
"1700109H08Rik",39.1270436522217,1.16940983765453,0.316405523197825,3.69592106305738,0.000219091042457759,0.00155672314068722
"1700123O20Rik",193.018917697244,-0.571142775363126,0.130527908509606,-4.37563722490117,1.21078241466878e-05,0.000135481765799504
"1810011O10Rik",1861.53347644783,-0.451158754429131,0.141072945302905,-3.19805298925621,0.00138358854149287,0.00710862213671209
"1810032O08Rik",87.1091895172464,0.597213430571526,0.232737345485282,2.56604039771216,0.0102866847005065,0.036736442908234
"1810034E14Rik",110.948758571466,-0.934053569790457,0.194338707562322,-4.80631769916921,1.53735534518959e-06,2.31284217039595e-05
"1810037I17Rik",382.912726796289,-0.488758583547182,0.0948091001174845,-5.15518640026673,2.5337875437506e-07,4.88385152663657e-06
"2010107E04Rik",3213.21604778658,-0.507399323754567,0.0650732782760268,-7.79735303333403,6.32191967636186e-15,9.38160604399913e-13
"2210013O21Rik",184.681882324495,-0.437972159827834,0.128230268625585,-3.41551308066472,0.000636619717387866,0.00376430653008647
"2310015A10Rik",380.877033226028,0.346451537561359,0.120041486217154,2.8860983688142,0.00390050225349503,0.0168320657664234
"2310020H05Rik",43.0222780154484,-0.884229749314297,0.257666416680364,-3.4316841158667,0.000599845802913147,0.00358150120997166
"2310022A10Rik",955.342796015311,0.23091541395276,0.0723366518153021,3.19223254267227,0.00141177622899768,0.007246138233791
"2310039L15Rik",88.4147452622989,-0.728353853700506,0.269549287701079,-2.70211752333854,0.00688994041497536,0.0266682044170419
"2410004B18Rik",238.066668849464,-0.436827499185714,0.115981127317639,-3.76636707444108,0.000165640207751818,0.00123865488037502
"2410006H16Rik",131.949719076815,0.617969402800618,0.227782629219347,2.71297861877577,0.00666814088790693,0.025974142067191
"2410015M20Rik",2045.74797062089,-0.372056665283294,0.0792283701726142,-4.69600301599916,2.65301624689686e-06,3.68648666671078e-05
"2410089E03Rik",168.464536053421,0.597472766302158,0.151605662616966,3.94096602982227,8.11541196144903e-05,0.000681935524083279
"2510016D11Rik",5.69071281565796,1.84296015870025,0.698181753777961,2.63965672080047,0.00829900418542477,0.0309617473698359
"2610001J05Rik",554.976219725591,-0.593483062596828,0.111971758640934,-5.30029241123186,1.15617356818459e-07,2.46439593313749e-06
"2610008E11Rik",406.824770960294,-0.278018226817792,0.0916823117095789,-3.03240855988086,0.00242610589183546,0.0114171885950446
"2610044O15Rik8",242.608193143332,-0.514303358152481,0.169189457080602,-3.03980736759186,0.00236729507756496,0.0111713816797099
"2610306O10Rik",27.2267733199836,2.01299131405582,0.346390536486822,5.81133461229072,6.19767434465008e-09,1.9452043605334e-07
"2700097O09Rik",225.349847385528,0.750874567162016,0.216991673689468,3.4603842368467,0.000539405104606074,0.00328478367486209
