"","V1","V2","V3"
"133","Ndufb7","Ndufb2",4.49111572759216
"134","Psma3","Psma1",4.48943122632318
"135","Polr2b","Polr2i",4.48936991946539
"136","Lsm3","Lsm6",4.48817925041817
"137","Actr2","Arpc2",4.48774742097976
"138","Polr2h","Polr2i",4.48765281615192
"139","Smarca4","Bcl7a",4.48727134545675
"140","Polr1b","Polr1e",4.48683154061746
"141","Arpc3","Arpc2",4.48549866388817
"142","Atp5j2","Ndufa12",4.48519151630603
"143","Cox7a2","Ndufc1",4.48206666630654
"144","Atp5j2","2010107E04Rik",4.47809990371729
"145","Atp5l","Atp5j2",4.47758487163696
"146","Ndufc1","Ndufv2",4.47720091133965
"147","Arpc3","Actr2",4.47612454378213
"148","Atp5f1","Atp5l",4.47113235814209
"149","Polr2b","Polr2f",4.47095365965765
"150","Arpc3","Arpc5",4.47032313559703
"151","Atp5j2","Ndufv2",4.46914507176666
"152","Ndufc1","Ndufv3",4.46851216409345
"153","Arpc5","Arpc2",4.46638349914519
"154","Cox6b1","2010107E04Rik",4.46566948330519
"155","Atp5j2","Ndufb7",4.4653645480239
"156","Cox6b1","Minos1",4.46246728162237
"157","Ndufb6","Ndufc1",4.46032016455979
"158","Snx1","Vps35",4.45934929647547
"159","Atp5k","Ndufv3",4.45791563409534
"160","Smarca4","Ss18",4.45656376943839
"161","Actr2","Arpc5",4.45423469357047
"162","Polr1a","Polr2b",4.45277690552894
"163","Ndufc1","Ndufb2",4.45264357304973
"164","Arpc1b","Arpc3",4.44596838833377
"165","Cdk9","Ccnt2",4.44513540907928
"166","Minos1","Atp5j2",4.44429838063434
"167","Ndufs1","Pdhb",4.44105452750114
"168","Ndufb11","Ndufc1",4.44059984818091
"169","Smarcc2","Arid1a",4.44028634884239
"170","Atp5j","Atp5j2",4.43732526638428
"171","Arid1b","Smarcc2",4.43696068765257
"172","Rpl15","Rplp2",4.43683741698101
"173","Bmi1","Ring1",4.43352214408674
"174","Pds5b","Smc1a",4.43235572569711
"175","Mta1","Hdac2",4.43230527547462
"176","Cox7a2","Uqcrh",4.43065308871178
"177","Smarca4","Smarce1",4.42956700820696
"178","Arpc1b","Arpc5",4.42937900156585
"179","Lsm3","Lsm8",4.4282837898761
"180","Cox7a2","Minos1",4.42754731343803
"181","Cox7a2","Atp5l",4.42537237385727
"182","Alb","Apoa1",4.42224886618851
"183","Atp5l","2010107E04Rik",4.4183246264754
"184","Sumo3","Ube2i",4.41824536334411
"185","Ndufc1","Sdhb",4.4138483428535
"186","Cox6b1","Ndufa13",4.41070830790977
"187","Atxn7","Taf12",4.40241639723558
"188","Pkm","Pgam2",4.40102834350569
"189","Nsmce1","Nsmce2",4.39997245654445
"190","Ndufb6","Atp5j2",4.39924370305357
"191","Uqcrq","Ndufb2",4.39887377751393
"192","Exosc5","Exosc7",4.39716965254684
"193","Exosc5","Exosc8",4.39653683954566
"194","Ndufb11","Uqcrb",4.39211194023278
"195","Eef2","Rplp1",4.38986416495209
"196","Psma2","Psmb6",4.3888159208152
"197","Ndufs8","Ndufs1",4.3882458222165
"198","Fth1","Ftl1",4.38762882829315
"199","Ndufb7","Atp5h",4.3866083909129
"200","Rplp1","Rpl39",4.38650619048099
"201","Atp5g1","Atp5j2",4.38347479793038
"202","Snx1","Snx6",4.38330691248234
"203","Cox7a2","Uqcr11",4.38301694014604
"204","Atp5o","Atp5h",4.38297230399507
"205","Uqcr11","2010107E04Rik",4.38205765910766
"206","Ndufb6","Ndufa12",4.38113291297304
"207","Atp5j","Atp5k",4.38090205985873
"208","Psma2","Psma4",4.37947223148035
"209","Psmd4","Psmd10",4.37854624142983
"210","Rpl27a","Rpl35a",4.3783384380547
"211","Tnrc6c","Ago2",4.37812498758808
"212","Ndufb11","Minos1",4.37771735522074
"213","Ndufb11","Ndufv2",4.37652931809794
"214","Ostm1","Clcn7",4.37641349088494
"215","Psma1","Psma4",4.37453589645293
"216","Ndufa12","Uqcr11",4.37227277627312
"217","Apoa1","Ttr",4.37156447990174
"218","Atp5k","Ndufv2",4.37147591477287
"219","Psmd4","Psmd3",4.3700603905545
"220","Rpl15","Rpl39",4.36993061157841
"221","Rpl27a","Rpl39",4.36682585495646
"222","Kdr","Vegfa",4.3644595672572
"223","Psma3","Psma4",4.36378835595292
"224","Ppp2ca","Ppp2r5c",4.36185253130702
"225","Srl","Obscn",4.36146219261991
"226","Atp5f1","Atp5o",4.36007920038219
"227","Atp5k","Minos1",4.35883524568635
"228","Dld","Ogdh",4.35781061311195
"229","Eef2","Rpl27a",4.35642881621015
"230","Nup133","Nup37",4.35627060770003
"231","Med4","Med6",4.3549364930409
"232","Med11","Med6",4.35437981112045
"233","Tnrc6b","Ago2",4.35200278325078
"234","Pdha1","Ndufs1",4.34996830607133
"235","Minos1","Uqcr11",4.34821656107124
"236","Polr1a","Polr2h",4.3467392580792
"237","Cox7a2","2010107E04Rik",4.3458905016596
"238","Ccnc","Med12",4.34496868667861
"239","Minos1","Ndufa12",4.34463058184315
"240","Fgfrl1","Fgf2",4.34200397347354
"241","Cox7a1","Cox8b",4.34025370280688
"242","Psma3","Psmb6",4.3382033433611
"243","Psma2","Psma3",4.33798819603749
"244","Uqcrc2","Sdhb",4.33609478385506
"245","Vps41","Vps18",4.33591395327699
"246","Cpsf3","Sympk",4.33235041162607
"247","Lsm8","Lsm6",4.33234573426103
"248","Polr1e","Cd3eap",4.3269378813452
"249","Ss18","Smarcd1",4.32599157703498
"250","Cops3","Cops4",4.32469778468885
"251","Atp5f1","Atp5h",4.32289145846721
"252","Ndufs8","Ndufv2",4.32149804935079
"253","Rps4x","Rpl35a",4.32054644124128
"254","Ckm","Ttn",4.32043595928576
"255","Eef2","Rps4x",4.3202187527595
"256","Atp5j2","Ndufa13",4.31859704965882
"257","Hsp90ab1","Stip1",4.31843684362889
"258","Atp5k","Cycs",4.31808629899842
"259","Uqcr11","Atp5h",4.3146684837659
"260","Mrpl24","Mrpl28",4.31389301328431
"261","Minos1","2010107E04Rik",4.31308821491007
"262","Ndufc1","Atp5h",4.31285402414733
"263","Exosc9","Exosc7",4.31271239067178
"264","Ndufa12","Uqcrb",4.3116189560742
"265","Ndufb7","Ndufa5",4.31113924098372
"266","Atp2a2","Pln",4.3107861489957
"267","Hspa8","Dnaja2",4.3105064022418
"268","Hgs","Stam2",4.30986287342466
"269","Polr1b","Polr1d",4.30901924919772
"270","Minos1","Ndufa5",4.30782029192846
"271","Atp6v0a1","Atp6v1g1",4.30654105132498
"272","Nfrkb","Ino80",4.30637742263593
"273","Atp5g1","Ndufv3",4.30597123899724
"274","Ndufa4","Atp5l",4.30576097922881
"275","Uqcrb","2010107E04Rik",4.30029340252281
