"","Source","Target","Score"
"139","Actb","Cxadr",3.61519685066014
"140","Plcg1","Stk11",3.61517539738225
"141","Chuk","Rbck1",3.6058725081723
"142","Pik3r1","Golga3",3.5985616007481
"143","Prkce","Ldb3",3.59430600570431
"144","Prkce","Fbxw7",3.59430600570431
"145","Pin1","Fbxw7",3.59430600570431
"146","Chuk","Nlrx1",3.59035394488319
"147","Tap1","Tap2",3.58952624090375
"148","Mapk8","Mapk8ip3",3.5886756306777
"149","Ikbkb","Keap1",3.58773716100609
"150","Cdk4","Pcna",3.58714005664001
"151","Smad2","Sf3b2",3.58440290287831
"152","Smad2","Pex6",3.58440290287831
"153","Irak1","S100a10",3.58058780773354
"154","Irak1","Ankrd17",3.58058780773354
"155","Itgb1","Wasl",3.58047505489913
"156","Jun","Mapk8",3.58031565746546
"157","Gbp3","Gbp10",3.57886603521138
"158","Rorc","Cul3",3.57478657529327
"159","Cdk4","Cdkn1b",3.57270680994952
"160","Ctnnb1","Tcf7l2",3.5715822738016
"161","Itpr1","Pde5a",3.57102281363996
"162","Mmp9","Srgn",3.55452626336319
"163","Nfatc1","Cblb",3.55266911454692
"164","Cblb","Psmd1",3.55266911454692
"165","Map3k1","Mapk8ip3",3.54815900484255
"166","Ptk2","Wasl",3.54734287108067
"167","Arhgef1","Arhgef11",3.54135578399041
"168","Casp8","Sqstm1",3.54064573932851
"169","Chuk","Ddx39b",3.53873713744883
"170","Ikbkb","Gtf2e2",3.53873713744883
"171","Plcg1","Mapk3",3.5387013715997
"172","Prkce","Vim",3.53359053250711
"173","Nfkb1","Pik3r2",3.53190941364005
"174","Stat3","Pcbp1",3.53029665875852
"175","Chuk","Mtor",3.52192464095651
"176","Ptk2","Pxn",3.51878314715304
"177","Pxn","Ablim2",3.51827804447339
"178","Calm1","Ywhaz",3.51632062814065
"179","Calm3","Ywhaz",3.51632062814065
"180","Calm2","Ywhaz",3.51632062814065
"181","Crk","Stam2",3.51239331504462
"182","Ikbkb","Rnf31",3.50492752200103
"183","Chuk","Rnf31",3.4949351579894
"184","Hspa8","Bag3",3.4909040702089
"185","Notch1","Notch4",3.4905784543098
"186","Arpc1b","Lmna",3.48954736755582
"187","Gucy1a2","Gucy1b3",3.48659263717582
"188","Stat3","Huwe1",3.48495735479378
"189","Nck1","Cblb",3.47688953510919
"190","Bcl2","Ptk2",3.46700976279658
