"","Source","Target","Score"
"141","Polr3c","Polr3h",3.96928626687259
"142","Hspa8","Stip1",3.96804515999611
"143","Bcl2","Bid",3.96701855318929
"144","Arrb2","Pde4d",3.96580277897237
"145","Arhgef1","Hip1r",3.96412289549994
"146","Arhgef1","Unk",3.96412289549971
"147","Itga6","Ptprc",3.96411407397545
"148","Fyn","Src",3.96145993861319
"149","Rxra","Thra",3.96141550361449
"150","Btk","Gng2",3.96078325226563
"151","Wasf2","Cyfip2",3.9603347774173
"152","Notch3","Psen2",3.96008591191003
"153","Casp3","Cryab",3.95910374190385
"154","Hspa1b","Dnajb7",3.9587615116377
"155","Vdac1","Vdac2",3.95685860609069
"156","Akt1","Clip3",3.9553310937024
"157","Rxrb","Tgif1",3.95459147318707
"158","Actb","Tpt1",3.95363852977584
"159","Mtor","Eif3f",3.9530811697457
"160","Psme1","Psme2",3.95238835790519
"161","Notch2","Psen2",3.95159658050625
"162","Dll1","Mib1",3.95134140650134
"163","Notch1","Psen2",3.95067271212361
"164","Cdk4","Psmd10",3.94842770913601
"165","Plcg1","Tec",3.94815277249859
"166","Grb2","Themis",3.94789654685565
"167","Akt1","Ttc3",3.94751557264476
"168","Ltbr","Traf3",3.94564221191695
"169","Wasf2","Plin3",3.94563352627733
"170","Ptpn6","Plcb3",3.94563352627733
"171","Fyn","Med28",3.94418220662965
"172","Canx","Mep1a",3.93713188499646
"173","Plcb2","Tbc1d15",3.93713188499646
"174","Nod1","Chordc1",3.93712941047283
"175","Irf1","Pias3",3.93712941047283
"176","Arpc1b","Arpc1a",3.93623273585717
"177","Polr1d","Polr2h",3.93462792688706
"178","Ms4a2","Lyn",3.93247574115594
"179","Notch1","Eif3f",3.93203930573281
"180","Hsp90aa1","Chordc1",3.93155601273202
"181","Grb2","Kif26a",3.9308926974154
"182","Hspa5","Dnaja2",3.93086772936522
"183","Rhoa","Fbxl19",3.92907181874898
"184","Itgb1","Vegfb",3.92907181874898
"185","Shc1","Shcbp1",3.92846251948549
"186","Traf3","Tnfrsf13c",3.92516409462974
"187","Hsp90aa1","Stip1",3.92462754110102
"188","Creb1","Crebl2",3.92136697276101
"189","Traf3ip2","Ikbke",3.92135119623208
"190","Nod1","Hsp90aa1",3.91529628425383
"191","Cdc42","Iqgap1",3.91457274363574
"192","Cdc42","Dock11",3.91398932711513
"193","Stat2","Ssna1",3.91398932711513
"194","Txn1","Dtnbp1",3.91396771391601
"195","Hspa5","Dnaja1",3.91185009407877
"196","Shc1","Lrrk1",3.91124573154821
"197","Sos1","Sos2",3.91053592426306
"198","Tnf","Rnf31",3.91002292200596
"199","Msn","Tagln2",3.90771061052806
"200","Cd247","Ptpn4",3.90688588210514
"201","Casp12","Pdcd6",3.90688588210514
"202","Jag2","Mib1",3.90688588210514
"203","Calr","Mep1a",3.90688588210514
"204","Nfatc2","Tfg",3.90688588210514
"205","Ltbr","Otud7b",3.90688033981132
"206","Actb","Tmsb4x",3.90500724671756
"207","Grb2","Sos2",3.89939540884052
"208","Bad","Prkaca",3.89805119623315
"209","Maf","Smarca5",3.89359021276528
"210","Arhgef1","Trim8",3.89348572392214
"211","Pik3cd","Rras",3.89347992216994
"212","Plcb2","Pola1",3.89347992216994
"213","Rbck1","Rnf31",3.88835567415799
"214","Fyn","Lck",3.88685379239882
"215","Limk1","Pxn",3.88348830475866
"216","Cblb","Vav2",3.88348819946509
"217","Pxn","Tgfb1i1",3.88229726233476
"218","Bad","Ywhaq",3.88152935347534
"219","Dock1","Zhx2",3.88096092661408
"220","Hspa8","Grpel1",3.87746947120831
"221","Ctss","Laptm5",3.87702227828368
"222","B2m","H2-D1",3.8756652646166
"223","Prkcd","Nlrc4",3.87499242249351
"224","Gnai3","Bag6",3.87499242249351
"225","Hspa8","Dnajb12",3.8711873854536
"226","Itgb2","Tyrobp",3.86941585418504
"227","Hspa5","Mzb1",3.86923454003568
"228","Arrb2","Ppp2r2b",3.86920321613343
"229","Mdm2","Rassf1",3.86532803245677
"230","Hspa8","Dnajb7",3.86427403746393
"231","Map2k4","Mapk8ip3",3.86396062118115
"232","Il2rg","Mapk14",3.8636005282483
"233","Adcy3","Cav1",3.85808083971278
"234","Cd247","Fcer1g",3.85807112335374
"235","Fas","Ezr",3.85807112335374
"236","Birc2","Hccs",3.85806788423702
"237","Pik3cd","Rras2",3.85806788423702
"238","Cd22","Plcg1",3.85755711391926
"239","Irak1","Tifa",3.85666838670772
"240","Tank","Traf1",3.8528549945936
"241","Hspa8","Dnajb14",3.85238545023458
"242","Myd88","Tnip1",3.84882014638015
"243","Itgb1","Ltb",3.84752020120618
"244","H2-DMb2","H2-Ob",3.843496945889
"245","Pdia3","Lipc",3.84247150462784
"246","Atg5","Rab33b",3.84241734770058
"247","Arhgef1","Ipo5",3.84241734770058
"248","Rxra","Asxl1",3.84241734770058
"249","Map2k7","Mapk8ip3",3.839295361739
"250","Bcl10","Map2k7",3.83892996250393
"251","Fcer1g","Cd52",3.83812789206854
"252","Col1a1","Tgfb1",3.83743748537404
"253","Hspa1b","Grpel1",3.83453863664317
"254","Btk","Kcmf1",3.832636990624
"255","Btk","Man2b1",3.832636990624
"256","Btk","Mrc1",3.832636990624
"257","Stat2","Appl2",3.82782952767775
"258","Stat2","Zfp36",3.82782952767775
"259","Rora","Maged1",3.82781544037312
"260","Hsp90b1","Mllt3",3.82780839564725
"261","Col3a1","Fstl1",3.82546491967742
"262","Traf2","Tnfrsf14",3.82411866585585
"263","Rhoa","Cit",3.8221962823111
"264","Ywhae","Mark1",3.821233681678
"265","Cd3e","Ptpn6",3.81410381529872
"266","Wasf2","Slmap",3.81410381529872
"267","H2-Oa","H2-Ob",3.81143422965738
"268","Notch1","Notch2",3.80875048855273
"269","Rela","Pias4",3.80116369459301
"270","Pik3r2","S100a10",3.8011577889954
"271","Gnai3","Ncl",3.8011577889954
"272","Arhgef1","Myo18a",3.8011502540121
"273","Ctnna1","Fmn1",3.8011502540121
"274","Cdc42","Tnk2",3.79940204253626
"275","Crk","Nedd9",3.79573308292356
"276","Cd79a","Lyn",3.79234257343523
"277","Cd79b","Ptprc",3.78933751494355
"278","Vamp8","Vps18",3.78887882614026
"279","Itgb1","Ptprc",3.78887882614026
"280","Pik3ca","Rras",3.78887882614026
"281","Rxra","Trim24",3.78841487620912
"282","Ltbr","Traf2",3.78757683594563
"283","Smad3","Tgfb1i1",3.78674409457517
"284","Irak1","Peli2",3.78525261496611
"285","Il15ra","Traf2",3.78501639640604
"286","Traf2","Zmiz1",3.78501639640604
"287","Traf2","Fcrla",3.78501639640604
"288","Limk2","Pxn",3.78494207609901
"289","Csf1","Dync1h1",3.78491076198497
"290","Actn1","Atp6v1a",3.78491076198497
"291","Itgb2","Prkar1a",3.78490684683015
"292","Nfatc2","Notch4",3.78490684683015
"293","Dnm2","Sh3kbp1",3.78480202722562
"294","Birc2","Cd40",3.78030856651344
"295","Sharpin","Rbck1",3.78010537359319
"296","Crk","Arhgap33",3.77754237759223
"297","Akt1","Ppp2r2b",3.7772113982337
"298","Traf3ip2","Il17ra",3.77717155828554
"299","Serpina1b","Serpina1e",3.7769392930154
"300","Grb2","Lrrk1",3.77547364630709
"301","Ctnnb1","Ptprf",3.77521405772768
"302","Tank","Traf2",3.7747383849794
"303","Col1a1","Sparc",3.77460111279947
"304","Sharpin","Asap2",3.76971276112818
"305","Sharpin","Cux1",3.76971276112818
"306","Xiap","Hccs",3.76967630210856
"307","Traf2","Tnfrsf13c",3.76887796620031
"308","Rxra","Tgif1",3.7660023538856
"309","Dock1","Dock5",3.76337567625865
"310","Cd40","Map2k4",3.76290053972093
"311","Grb2","Vav2",3.76097756979402
"312","Lck","Src",3.76080707329947
"313","Ctnnb1","Rapgef2",3.75932979150957
"314","Naip5","Naip6",3.7556850279484
"315","Smad3","Snai1",3.75534752342833
"316","Calm2","Cep97",3.75530573602691
"317","Calm3","Cep97",3.75530573602691
"318","Calm1","Cep97",3.75530573602691
"319","Bcl10","Socs3",3.75461470284199
"320","Itgb2","Ywhab",3.75347493049389
"321","Grb2","Spry1",3.75303387678036
"322","Dll1","Neurl2",3.7518250119474
"323","Ctnnb1","Nf2",3.74977219738548
"324","Pdia3","Hsp90b1",3.74893450551576
"325","Lyn","Rbm12",3.74845316400774
"326","Sos1","Spry1",3.74840228669063
"327","Lyn","Skap2",3.74772017928967
"328","Gnai2","Gnal",3.74560007496893
"329","Grb2","Cpne2",3.74517719323626
"330","Rela","Cul2",3.7439020145523
"331","Mdm2","Eid1",3.74197349674728
"332","Pik3ca","Rras2",3.74168755532969
"333","Maf","Nfe2l2",3.74168755532969
"334","Mdm2","Rpl23",3.74155147843635
"335","Tnf","Tnfrsf1a",3.73855690979076
"336","Calr","Eno2",3.73648719542439
"337","Polr3e","Polr3g",3.73648719542439
"338","Polr3e","Polr3c",3.73648719542439
"339","Polr1d","Twistnb",3.73648719542439
"340","Polr1c","Twistnb",3.73648719542439
"341","Mapk8","Wwox",3.73514709176447
"342","Pxn","Git1",3.73290464287243
"343","Fyn","Arhgap33",3.73249997743142
"344","Wasf2","Dtnbp1",3.73190528930581
"345","Calr","Msn",3.73088229658947
"346","Clu","Prnp",3.72963767504166
"347","Lck","Lyn",3.72962409986712
"348","Fas","Ube2i",3.72871865612433
"349","Calr","Ezr",3.72711145069934
"350","Was","Ipo5",3.72560422361789
"351","Ctss","Ly86",3.72282400580457
"352","Btk","Mllt1",3.72253480251902
"353","Rela","Med16",3.72253480251902
"354","Ptprc","Tyrobp",3.72060812103564
"355","Sipa1","Sipa1l1",3.72027041023307
"356","Tyrobp","Sirpb1a",3.71909079889315
"357","Sipa1","Sipa1l3",3.71863521876321
"358","Ywhae","Crtc1",3.71656037410457
"359","Fyn","Ptprf",3.71642386109306
"360","Cd40","Ppp1r13b",3.71638319633757
"361","Stat2","Cops4",3.71636511722227
"362","Sipa1","Sipa1l2",3.71230420344114
"363","Hspa8","Rpl8",3.70927477628197
"364","Fyn","Slamf1",3.7090005547966
"365","Akt1","Btbd10",3.70745880889126
"366","Txn1","Glod4",3.70731265072004
"367","Ctnnb1","Tert",3.70453926205209
"368","Fyn","Skap2",3.70063383722459
"369","Sharpin","Rnf20",3.69880891157118
"370","Il12b","Il12rb1",3.69818631309681
"371","Fyn","Ptpra",3.69801336759383
"372","Bin1","Bin2",3.69794083545412
"373","Irak1","Tollip",3.69642436389699
"374","Birc2","Xiap",3.69518400474499
"375","Trip6","Zyx",3.69497852980453
"376","Gnai2","Gnao1",3.69405743013408
"377","Fcer1g","Ly86",3.69397243184676
"378","Myd88","Tmod3",3.69323377928913
"379","Myd88","Prpf31",3.69323377928913
"380","Hspa5","Dnajb7",3.6924153482687
"381","Polr3gl","Polr3c",3.69125986245967
"382","Ppp1cc","Eif2a",3.69111814314192
"383","Bad","Bcl2",3.6899860054516
"384","Scin","Vil1",3.68985299218389
"385","Hspa1b","Dnajb12",3.6897503891405
"386","Hspa5","Dnajb4",3.68969079679732
"387","Hspa5","Dnajb12",3.68951212577258
"388","Inppl1","Shc1",3.68785593603161
"389","Pdia3","Pdia6",3.68686756229022
"390","Hspa5","Dnajb1",3.68584017610738
"391","Gnai2","Gnaq",3.68550174345501
"392","Grb2","Frs2",3.68448516215653
"393","Pxn","Pdlim7",3.68364355738436
"394","Map2k1","Mapk8ip3",3.68244081020634
"395","Pik3r2","Brd7",3.68221310429635
"396","Pik3r2","Sh3gl1",3.68221310429635
"397","Calr","Vcp",3.68198615489473
"398","Grb2","Met",3.68110181163411
"399","Vdac3","Bcap31",3.68014559158587
"400","Sharpin","Rnf31",3.67889645736295
"401","Hsp90aa1","Nupr1",3.67861148479142
"402","Pxn","Arhgef7",3.67853849044945
"403","Akt1","Map3k5",3.67825030872177
"404","Grb2","Tek",3.67795650309358
"405","Fyn","Ptk2b",3.67672723846931
"406","Hspa1b","Dnajc16",3.67659039267846
"407","Prkci","Pard6b",3.6758478954639
"408","Hspa8","Dnajc16",3.67551265057705
"409","Hspa5","Dnajc16",3.67519664265797
"410","B2m","Desi1",3.67432080710182
"411","Actb","Ipo9",3.67432080710182
"412","Stat2","Rcn2",3.67428178549676
"413","Cdc42","Arhgap33",3.67428178549676
"414","Bcl2","Bcl2l11",3.67353398784394
"415","Was","Syvn1",3.67169633544086
"416","Irf1","Polr2a",3.67169633544086
"417","Arhgef1","Arhgef12",3.66915824838611
"418","Irak1","Parvg",3.66665241863006
"419","Pik3ca","Anapc7",3.66654371674963
"420","Inppl1","Itsn1",3.66654371674963
"421","Gnai2","Gnai3",3.66620394057122
"422","Gnaq","Gnb4",3.66518073457473
"423","Mdm2","Mdm4",3.66450639535174
"424","Hspa5","Grpel1",3.6623181403761
"425","Pxn","Zhx2",3.66152236278504
"426","Cd40","Otud7b",3.66152236278504
"427","Lck","Skap2",3.66150740801481
"428","Smad3","Zmym2",3.65939104174367
"429","Btk","Tec",3.65677343249376
"430","Casp12","Vcp",3.65665503801506
"431","Hspa1b","Dnajb14",3.65598211824999
"432","Ctss","Lyz2",3.65321692754083
"433","Traf3","Otud7b",3.65168197020807
"434","Polr2e","Polr3k",3.64996562722467
"435","Hspa5","Dnajb14",3.64850226179192
"436","Itgb2","Ptprc",3.64734000931821
"437","Ptpn6","Lyn",3.64467605856589
"438","Cd247","Ptpn6",3.64211412998816
"439","Vdac2","Bcap31",3.64191696614307
"440","Plcg1","Sos1",3.6404142761362
"441","Cd36","Htt",3.64014140276186
"442","Grb2","Spry2",3.63765090424795
"443","Vdac1","Bcap31",3.6374793505081
"444","Sos1","Spry2",3.6374540617096
"445","Ppp1cc","Gsk3a",3.63067119281004
"446","Hsp90b1","Uqcrc2",3.62949026809133
"447","Hspa1b","Dnajc10",3.62857994792375
"448","Hspa8","Dnajc10",3.62616368929571
"449","Tyrobp","Plek",3.62508698176953
"450","Pik3cd","Pik3r1",3.6193051618086
"451","Actb","Atp6v1a",3.61519685066014
"452","Myd88","Tuba1c",3.61096111158372
"453","Grb2","Shank3",3.61054370087732
"454","Ezr","Isyna1",3.60804135954822
"455","Ptprc","Ptpre",3.60791668826278
"456","Bcl2","Actr1a",3.60670094854891
"457","Irf1","Sumo1",3.60670094854891
"458","Calr","Ncstn",3.60665206088652
"459","Cdc42","Cit",3.60456680139214
"460","Nck1","Map2k2",3.60456680139214
"461","Hspa5","Grpel2",3.60313940034507
