"","Source","Target","Score"
"139","Itpr1","Crtc2",3.83151511768278
"140","Stat2","Appl2",3.82782952767775
"141","Ppp1cb","Ppp1r11",3.81993593226798
"142","Polr3a","Mrpl11",3.81327510627216
"143","Notch1","Notch2",3.80875048855273
"144","Mapk3","Metap2",3.80538465225482
"145","Arhgef1","Myo18a",3.8011502540121
"146","Notch1","Egfl7",3.79913566827327
"147","Ppp1ca","Lbr",3.79855324881919
"148","Itpr1","Plcb4",3.79292342179087
"149","Hspa4","Dnajc10",3.7891770944741
"150","Rxra","Trim24",3.78841487620912
"151","Limk2","Pxn",3.78494207609901
"152","Csf1","Dync1h1",3.78491076198497
"153","Actn1","Atp6v1a",3.78491076198497
"154","Ywhae","Sorbs2",3.77827609926658
"155","Crk","Arhgap33",3.77754237759223
"156","Ctnnb1","Ptprf",3.77521405772768
"157","Ctnnb1","Rapgef2",3.75932979150957
"158","Naip5","Naip6",3.7556850279484
"159","Hspa5","Creld2",3.74981269856062
"160","Mapkapk2","Mapk14",3.74911582825052
"161","Pdia3","Hsp90b1",3.74893450551576
"162","Sos1","Spry4",3.74840228669063
"163","Sos1","Spry1",3.74840228669063
"164","Smad2","Mef2a",3.74728452318027
"165","Hras","Rgl3",3.74504066888517
"166","Notch1","Numb",3.74407790381042
"167","Mdm2","Eid1",3.74197349674728
"168","Ppp1ca","Ppp1cc",3.73648719542439
"169","Bcar1","Cul5",3.73190528930581
"170","C3","Nphp1",3.72890383802223
"171","Ikbkb","Snx1",3.72878483733211
"172","Smad2","Prdm16",3.72279583924364
"173","Map2k1","Map3k1",3.72123402065768
"174","Kit","Pik3r2",3.71965440238
"175","Sipa1","Sipa1l3",3.71863521876321
"176","Ywhae","Crtc1",3.71656037410457
"177","Stat2","Cops4",3.71636511722227
"178","Pin1","Snx3",3.71583135874153
"179","Ppp1ca","Cdc34",3.71044471966138
"180","Hspa8","Rpl8",3.70927477628197
"181","Ywhae","Lmo7",3.70765257511107
"182","Txn1","Glod4",3.70731265072004
"183","Rapgef3","Rapgef4",3.70497410005851
"184","Hif1a","Rorc",3.7045260003847
"185","Nfkb1","Nfkbia",3.70040735848806
"186","Araf","Hras",3.69316302318339
"187","Hspa5","Dnaja4",3.69304762371871
"188","Polr3a","Mrps12",3.6909226011187
"189","Fga","Fgg",3.68775044118979
"190","Polr3a","Mrps7",3.68709710387429
"191","Pdia3","Pdia6",3.68686756229022
"192","Hspa5","Dnajb1",3.68584017610738
"193","Polr3a","Eefsec",3.68492692588893
"194","Pxn","Pdlim7",3.68364355738436
"195","Map2k1","Mapk8ip3",3.68244081020634
"196","Notch2","Egfl7",3.68220829190727
"197","Vdac3","Bcap31",3.68014559158587
"198","Polr3a","Gfm1",3.67865265978799
"199","Hsp90aa1","Nupr1",3.67861148479142
"200","Hspa4","Dnajc16",3.67814211134714
"201","Hspa8","Dnajc16",3.67551265057705
"202","Hspa5","Dnajc16",3.67519664265797
"203","Cdc42","Arhgap33",3.67428178549676
