"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007P14Rik",474.823544774892,-0.716450379532221,0.187317750259524,-3.82478637790385,0.000130885525859699,0.00153126580797452
"0610010K14Rik",29.5567429894024,1.3419551408013,0.417149147853773,3.21696723511396,0.00129553393082365,0.00904733933115589
"0610030E20Rik",1058.91363446118,0.694365094842272,0.162162091604071,4.28191994795928,1.85287644211066e-05,0.000316892904214795
"0610037L13Rik",1084.52412209307,-0.591510319093948,0.197735984544895,-2.99141464036177,0.00277688159655728,0.0163759097956645
"1110002E22Rik",14.300939237212,1.7780395368173,0.661853771814722,2.68645373424727,0.00722149485160335,0.0336880461075717
"1110012L19Rik",231.338243497328,-0.692099873389482,0.197653345436042,-3.50158441215677,0.000462500434550177,0.00413917378925311
"1110035H17Rik",10.971683140892,1.76923406281335,0.653438752806188,2.70757443634218,0.00677768698062649,0.0321556733183117
"1110037F02Rik",1354.89538412577,-0.354756663645771,0.140110820194686,-2.53197192874063,0.0113423071155024,0.0471962753556149
"1110059E24Rik",440.677957836817,-0.761032352737843,0.206259198799921,-3.68968927042169,0.000224528129288754,0.00234932381553269
"1110059G10Rik",385.091665035786,-0.471187216246924,0.173437106255919,-2.71676128839266,0.00659241362042121,0.0314988215157444
"1600012H06Rik",819.079154493468,-0.377919454445144,0.149184501853006,-2.5332353545512,0.0113015043193458,0.0470871708995711
"1700017B05Rik",418.835037515291,0.838946210563121,0.155669173534827,5.38928929545212,7.07368595725321e-08,2.81292265467619e-06
"1700020I14Rik",3880.45818384321,-0.364354013100537,0.118497107394972,-3.0747924663349,0.0021064907617431,0.0132566869571144
"1700109H08Rik",59.2228140847423,1.24306287438994,0.467229120686283,2.6604995693849,0.00780248270285866,0.0357364775142278
"1810010H24Rik",769.308753447689,0.679157074765176,0.163366245378747,4.15726684047016,3.22077715422317e-05,0.000502633473964293
"1810011O10Rik",1320.65627640404,-0.765949602810343,0.181083733332128,-4.22980898789791,2.33889821962063e-05,0.000385940652333141
"1810019D21Rik",495.571953452018,0.897494207044065,0.190570437041427,4.70951434533868,2.48307738157743e-06,5.84391899789614e-05
"1810026B05Rik",479.957892186315,0.500538132432067,0.142632236877514,3.50929175191936,0.000449301753781357,0.00404797813325893
"1810037I17Rik",786.306281416892,-0.594593962432909,0.211325179584056,-2.81364465703154,0.0048983341624058,0.0252905676533552
"2310022A10Rik",262.847511305576,0.654982408257871,0.171909461474266,3.81004281347202,0.000138942728523999,0.00160116370593859
"2310022B05Rik",1096.0166837946,0.528546620548804,0.171409167685017,3.08353764088084,0.00204555231368903,0.0129309436208957
"2410002F23Rik",492.579931991763,0.517214676082647,0.183490709858537,2.81875129526392,0.00482108568200086,0.0249876174433078
"2610001J05Rik",844.839274037776,-0.50663027951436,0.193725815230649,-2.6151923991708,0.00891772059197127,0.0393378685675891
"2610008E11Rik",673.995704689486,-0.422760140947341,0.156551704903096,-2.7004505713242,0.00692456256740864,0.032708327282274
"2610028H24Rik",838.80582588435,0.625513177032183,0.237955619483969,2.62869680652498,0.00857127426106723,0.0382274096532957
"2700081O15Rik",544.4575248149,0.496014340946782,0.146613588670121,3.38314030401921,0.00071662011774925,0.00578202488808678
"2700097O09Rik",178.327366409335,0.677353456285587,0.241862989459844,2.80056679113381,0.00510129496201319,0.0261130016365577
"2810002D19Rik",114.025695500519,-0.712019228612856,0.239730752596481,-2.9700788109206,0.00297723358163169,0.0172656020745128
"2810030D12Rik",67.5237467458408,1.17970105810834,0.34078991715612,3.46166655384909,0.000536841831792966,0.00464984515788489
"2810410L24Rik",84.5543767421277,0.895760297326265,0.26261561499089,3.41091788223384,0.000647445875726701,0.005366023441277
"2900005J15Rik",91.8885465780389,1.3455834681545,0.329295817087053,4.08624524920333,4.38410364375281e-05,0.000646405053227298
"2900026A02Rik",1584.89163183765,0.591678156248967,0.162721039060404,3.63615030770132,0.000276742891263436,0.00276739243910248
"2900052L18Rik",124.542116780907,0.717835879288361,0.254149996038633,2.82445756630759,0.00473607190358334,0.0246816916989519
"2900089D17Rik",115.371070544246,0.792357300585412,0.234028132538926,3.38573526177934,0.000709878313745142,0.00573622891662429
"3632451O06Rik",166.635617621618,-1.0437933430667,0.263345203615134,-3.96359352187842,7.38299211712198e-05,0.000976235935552288
"3830406C13Rik",453.590014025202,-0.692455930857947,0.185525380090684,-3.73240540199663,0.000189659932906512,0.00205231877799976
"4732496C06Rik",100.627888455978,0.948458794492173,0.243743439961582,3.89121772730239,9.97423788184371e-05,0.00124133968661635
"4833413G10Rik",87.4477474106561,0.88836632669421,0.253259641384957,3.50772954520568,0.000451948261615781,0.0040672824324341
"4833418N02Rik",75.0073906151412,0.861821928651352,0.318788241878721,2.70343072747087,0.00686277511435751,0.0324829974263565
"4833420G17Rik",1018.34501431809,0.421608305939762,0.152565916861037,2.7634501506898,0.0057193827902454,0.0283918103255744
"4930481A15Rik",171.813935988923,1.29123524194961,0.319203801798217,4.0451750094313,5.2284050900184e-05,0.000736584643790115
"4930486L24Rik",172.842649053527,-0.935553091304448,0.219318167749739,-4.26573457595175,1.99245543531369e-05,0.000335962751119476
"4930518I15Rik",29.2399664297546,1.6400287150843,0.460524975665305,3.56121557297735,0.000369141845130227,0.00346903090199506
"4930578C19Rik",154.818951759322,-0.787102739348029,0.203941582414972,-3.8594519569161,0.000113641595028469,0.0013836100280711
"4930581F22Rik",279.198018467148,0.71976259695938,0.260102703580855,2.76722458878878,0.00565357922555633,0.0281806225985202
"4931406C07Rik",1012.29628863244,-0.364444813750747,0.134044116526952,-2.71884229754663,0.00655108336816294,0.0313756277006795
"4933406C10Rik",69.3124253659114,1.01048606106107,0.317134191504033,3.18630437250793,0.00144102905842287,0.0098665878491252
"4933407K13Rik",86.5221943148989,0.953085683664162,0.310954013758684,3.06503740583263,0.00217642774852926,0.0135981074865696
"4933439C10Rik",279.064263728401,0.926739779228167,0.181333801666056,5.11068411246818,3.20994315771344e-07,1.03030879286846e-05
"5031434O11Rik",109.066701893757,1.38159663157934,0.26649155289172,5.18439183751802,2.16720872774009e-07,7.38072781018098e-06
"5031439G07Rik",1219.9196239009,0.493644170707504,0.129955886197263,3.79855184056987,0.000145543989806597,0.00166653029462944
"5430405H02Rik",95.4833021320074,0.823250867210764,0.284398011384253,2.89471386668194,0.00379504290374799,0.0208404651976229
"5730559C18Rik",33.2456120757254,1.25289703589528,0.404427775630902,3.09795002071948,0.00194864288850481,0.0124894162107623
"5830408C22Rik",35.9661127624105,0.997285260385834,0.387637491781821,2.57272653324036,0.0100900899074399,0.043210743118201
"6430548M08Rik",3134.89242531992,0.618777860765787,0.220968619251613,2.80029744884814,0.00510555373738218,0.0261242457659269
"8430422M14Rik",78.2940894395433,1.31140785853201,0.263747942306848,4.97220128832815,6.61969207146963e-07,1.89494554067158e-05
"9230104L09Rik",271.080881464299,-0.736024874363821,0.173035689411849,-4.25360153657076,2.10359486713899e-05,0.000351215502895129
"9230111E07Rik",20.732871956309,1.33935489645554,0.468640171681499,2.85796006699529,0.00426374045580031,0.0227365060014627
