"","V1","V2","V3"
"138","Map2k7","Mapk8ip3",3.839295361739
"139","Ndufs8","Ndufc2",3.83823648839484
"140","Stat2","Appl2",3.82782952767775
"141","Scrib","Mark4",3.82780839564725
"142","Cox7a2","Ndufs8",3.82498394819595
"143","Lims1","Rsu1",3.82450277252633
"144","Dvl2","Dvl3",3.82137494728727
"145","Actl6a","Ep400",3.8181399407481
"146","Ndufs1","Uqcrc2",3.81674202426507
"147","Trrap","Ep400",3.81465935984102
"148","Hnrnpd","Ldha",3.80538465225482
"149","Insr","Agap2",3.80535587511213
"150","Pcmt1","Rxra",3.8011502540121
"151","Ssr2","Ssr3",3.79703152042703
"152","Limk2","Pxn",3.78494207609901
"153","Dvl1","Dvl3",3.78080035436187
"154","Atp5f1","Uqcrc2",3.77942452893171
"155","Crk","Arhgap33",3.77754237759223
"156","Ctnnb1","Ptprf",3.77521405772768
"157","Dld","Ndufa11",3.77078776400208
"158","Cyp4f13","Cyp4f17",3.77066530052139
"159","Atp5f1","Cox7a2",3.76933984828247
"160","Kdm4b","Kdm4a",3.76646679388023
"161","Stx12","Stat2",3.76601869199521
"162","Pitpnm1","Pitpnm2",3.76498321691565
"163","Syngap1","Dab2ip",3.7633263597761
"164","Tns2","Tns1",3.75967186252319
"165","Ndufb3","Uqcrh",3.75634650401912
"166","Crebbp","Pcmt1",3.75541726994152
"167","Per1","Csnk1e",3.75307296018218
"168","Chkb","Chka",3.75150216591169
"169","Dnaja1","Grpel1",3.74471014069354
"170","Zfp35","Rbak",3.73971988451922
"171","Psmd5","Psmc6",3.73648719542439
"172","Sec23a","Sec23b",3.73648719542439
"173","Dld","Ndufs1",3.73212148267044
"174","Ndufs8","Ndufa11",3.72886236651675
"175","Pdcd6ip","Sdcbp",3.7287318963547
"176","Cct3","Uqcrc2",3.72725710973486
"177","Capza2","Actr2",3.72467639920887
"178","Psmb7","Psmc6",3.72067724086651
"179","Stat2","Cops4",3.71636511722227
"180","Ring1","Cbx7",3.71635155550507
"181","Prdm9","Zfp35",3.71517559009885
"182","Prdm9","Rbak",3.71380918579462
"183","Cox6b1","Atp5f1",3.70216803403764
"184","Apex1","Pcna",3.7006874150959
"185","Zfp729b","Zfp35",3.69925851669268
"186","Pcgf2","Cbx7",3.69877154462074
"187","Hspa13","Dnaja1",3.69290770179668
"188","Axin2","Ctnnb1",3.69000666280635
"189","Mks1","Tctn1",3.68771997047975
"190","Wdr62","Mapkbp1",3.68441265228512
"191","Pxn","Pdlim7",3.68364355738436
"192","Ogdh","Suclg1",3.68064898919874
"193","Pfas","Paics",3.6801666545025
"194","Vps35","Snx2",3.67754072431671
"195","Anxa11","Anxa5",3.67642968406471
"196","Uqcrh","Ndufc2",3.67517539734877
"197","Cdc42","Arhgap33",3.67428178549676
"198","Ip6k1","Ip6k2",3.66633683603982
"199","Hspa13","Grpel1",3.66403508166763
"200","Anxa11","Anxa2",3.6580971013268
"201","Smarca4","Gltscr1",3.65741617538583
"202","Rab8a","Tbc1d17",3.65505945947575
"203","Arhgef18","Akap13",3.65171344146574
"204","Arhgef18","Arhgef2",3.64730654701953
"205","Rnf44","Rnf38",3.64642126548188
"206","Vps29","Snx1",3.64514943357631
"207","Trip10","Fnbp1",3.64191882070099
"208","Plcg1","Sos1",3.6404142761362
"209","Ldha","Tpi1",3.64026659874003
"210","Cox6c","Uqcrb",3.63764407227745
"211","Dld","Pdha1",3.63690811560923
"212","Anxa11","Anxa1",3.6357450082935
"213","Sec13","Sec23a",3.63101792177258
"214","Ndufa9","Uqcrc2",3.63018522079528
"215","Commd1","Commd6",3.62890279235876
"216","Polr2a","Gpbp1",3.62612704613662
"217","Dvl1","Dvl2",3.62338019369508
"218","Zfp729b","Rbak",3.61802773985937
"219","Ogdh","Sucla2",3.61534973502967
"220","Abca2","Abca7",3.61277169673508
"221","Rgl2","Rgl3",3.61093952032024
"222","Npr1","Npr2",3.6095219457668
"223","Cav1","Insr",3.60807400389422
"224","Per2","Csnk1e",3.60603554293607
"225","Tuba4a","Tubb2a",3.59645967389429
"226","Cry2","Per1",3.59429917850753
"227","Pde4c","Pde8a",3.58969406067308
"228","Tap1","Tap2",3.58952624090375
"229","Lims1","Pdlim7",3.58871040683357
"230","Abl1","Nck1",3.58428966982547
"231","Eif4e","Pabpc1",3.57628170133989
"232","Ctnnb1","Tcf7l2",3.5715822738016
"233","Rbak","Zscan29",3.56887328230391
"234","Sucla2","Uqcrc2",3.55560165344491
"235","Zfp729b","Prdm9",3.5546146134584
"236","Nfatc1","Cblb",3.55266911454692
"237","Cox7a2","Rps27l",3.5523727618363
"238","Psma4","Psmd5",3.55132220790165
"239","Zfp865","Rbak",3.55085555127766
"240","Zfp35","Zfp865",3.5474704218459
"241","Zmiz1","Zmiz2",3.54349350190637
"242","Arhgef1","Arhgef11",3.54135578399041
"243","E4f1","Zfp35",3.54029117135747
"244","Crebbp","Gpbp1",3.53873713744883
"245","Lims1","Pxn",3.537523118335
"246","Pnpla7","Pnpla6",3.53636100452468
"247","Mapre3","Mapre1",3.53469238338926
"248","Ndufs4","Ndufs1",3.53146406032101
"249","Cry2","Per2",3.52462631414664
"250","Ndufs1","Suclg1",3.52225696614983
"251","Smarca4","Srrm2",3.50641656187008
"252","Flt1","Plcg1",3.50608186645695
"253","Dld","Dhtkd1",3.505742308756
"254","Zfp729b","Zfp865",3.50179328527429
"255","Cox6c","Ndufs8",3.49884134379477
"256","Prdm9","Zscan29",3.49318111637012
"257","Insr","Jup",3.49082826797871
"258","Notch1","Notch4",3.4905784543098
"259","Snapc4","Snapc5",3.49026264854297
"260","Lox","Mks1",3.4835239123604
"261","Ncoa1","Ep300",3.4835239123604
"262","Nck1","Cblb",3.47688953510919
"263","Zfp35","Zscan29",3.47202257945855
"264","Uqcrc2","Uqcrb",3.47124529615735
"265","Per1","Per2",3.46904367952152
"266","Abl1","Pxn",3.46607510942295
"267","Phf2","Kdm2a",3.46159262006449
"268","Ndufs1","Sdhd",3.45531489995892
"269","Chd4","Mta1",3.45502478579215
"270","Chd4","Vezf1",3.43943998683221
"271","Nfatc1","Ep300",3.43562887751136
"272","Sumo3","Ep300",3.43562887751136
"273","Pdcd6ip","Stat2",3.43554834579345
"274","Pdha1","Ndufa9",3.42988826870396
