"","V1","V2","V3"
"140","Cox7a2","Uqcrh",4.43065308871178
"141","Rpl31","Rps5",4.42293467178729
"142","Atp5c1","Uqcrc2",4.42221015796486
"143","Sumo3","Ube2i",4.41824536334411
"144","Rpl10a","Rps24",4.41534836147548
"145","Rplp0","Rpl26",4.41068471870267
"146","Eef1a1","Rpl26",4.40914552045479
"147","Cct8","Tcp1",4.40853370605555
"148","Rps5","Rps3",4.40621535120408
"149","Elp2","Elp3",4.40260703419608
"150","Pdha1","Dlat",4.40006343104778
"151","Nsmce1","Nsmce2",4.39997245654445
"152","Rplp0","Rpl7",4.39955905680608
"153","Dctn1","Dctn4",4.39145125857817
"154","Ndufs8","Ndufs1",4.3882458222165
"155","Sf3b3","Sf3b6",4.38818178038514
"156","Cox6b1","Atp5c1",4.38610681841055
"157","Rplp0","Rps4x",4.38402850652051
"158","Snx1","Snx6",4.38330691248234
"159","Psma2","Psma4",4.37947223148035
"160","Tnrc6c","Ago2",4.37812498758808
"161","Rpl10a","Rps5",4.37761204457729
"162","Dld","Dlat",4.37567659693332
"163","Psma1","Psma4",4.37453589645293
"164","Psmd2","Psmd1",4.36641142800113
"165","Rplp0","Rps14",4.36571365727536
"166","Psmd3","Psmc4",4.36267925767811
"167","Rpl7","Rps14",4.36155508721799
"168","Cct2","Tcp1",4.3609039305411
"169","Dld","Ogdh",4.35781061311195
"170","Rpl6","Rps14",4.35774239046691
"171","Psmd2","Psmd3",4.3558012782903
"172","Psma4","Psma5",4.35435118243686
"173","Cct5","Cct7",4.3537388226207
"174","Rps3","Rpl4",4.35348263258174
"175","Cct3","Tcp1",4.35213842115695
"176","Psmc1","Psmd3",4.35002764803608
"177","Psma2","Psma5",4.35000960574439
"178","Pdha1","Ndufs1",4.34996830607133
"179","Psmc3","Psmd3",4.34929374837793
"180","Eif3k","Eif3m",4.3474104784093
"181","Cct5","Cct8",4.34677778319087
"182","Cpsf2","Cpsf4",4.34656728718733
"183","Rps4x","Rps3",4.34637018638773
"184","Mta3","Mta2",4.34511080822472
"185","Ccnc","Med12",4.34496868667861
"186","Psma2","Psmb1",4.34482749373046
"187","Rps14","Rpl27a",4.34020544495479
"188","Psmb1","Psma4",4.33754067547125
"189","Vps41","Vps18",4.33591395327699
"190","Rpl10a","Rpl4",4.33530614087817
"191","Atp6v1b2","Atp6v1d",4.33340260251271
"192","Psmc3","Psmc4",4.33242666871706
