"","V1","V2","V3"
"135","Rpl10a","Rps3a1",4.80788674106338
"136","Rpl10a","Rps15",4.8078178287883
"137","Rpl32","Rps4x",4.80779280347406
"138","Rpl5","Rpl9",4.80735453469242
"139","Rps14","Rps5",4.80648188155169
"140","Rpl27a","Rps13",4.8056912946081
"141","Rpl5","Rpsa",4.80526598074175
"142","Rpl13a","Rps10",4.80481724932974
"143","Rpl10a","Rplp1",4.80462589537638
"144","Rpl31","Rps4x",4.80187128629382
"145","Rpl5","Rps13",4.80078592850464
"146","Atp5c1","Atp5d",4.80028498553997
"147","Ndufa12","Ndufb8",4.79909821852357
"148","Rps11","Rpl35",4.7988316051576
"149","Ndufb9","Ndufs7",4.79872571587293
"150","Rpl5","Rpl7",4.79854079761685
"151","Rps3a1","Rps4x",4.79686009907073
"152","Rpl31","Rps19",4.79386964314813
"153","Rpl5","Rplp1",4.79237759065245
"154","Rpl31","Rpl18a",4.79133882586507
"155","Ndufa12","Ndufa5",4.79108559302995
"156","Rpl5","Rpl18a",4.79087763447001
"157","Ndufb8","Ndufv2",4.7864443846936
"158","Rpl37a","Rps3a1",4.78474721351313
"159","Rpl37a","Rplp1",4.78294621216173
"160","Atp5a1","Atp5c1",4.782641457502
"161","Rpl13a","Rpl35",4.78234129828797
"162","Rpl7","Rpl27a",4.78151976463118
"163","Atp5c1","Atp5j2",4.78077198963069
"164","Atp5c1","Atp5f1",4.78040699060307
"165","Rpl7","Rpl9",4.77552463789561
"166","Rpl37a","Rps19",4.77496826337392
"167","Ndufb11","Ndufv3",4.77420074699126
"168","Vps29","Vps35",4.77360752996287
"169","Rps4x","Rps5",4.77165725752775
"170","Rpl31","Rpsa",4.76873073606453
"171","Rpsa","Rps15",4.76751540227042
"172","Rps4x","Rpl13a",4.76447439093113
"173","Rpl31","Rpl13a",4.7625539014457
"174","Ndufc1","Ndufa12",4.76213965908846
"175","Rpsa","Rpl13a",4.76116963381605
"176","Atp5d","Cyc1",4.76102781706822
"177","Rplp1","Rpl15",4.75302686601844
"178","Rpsa","Rplp1",4.75253528058943
"179","Rpl7","Rps13",4.75240647873488
"180","Rps15","Rps4x",4.75206432162304
"181","Rpl7","Rps15",4.75150142926464
"182","Ndufs3","Ndufs7",4.75106191002487
"183","Rpsa","Rpl37a",4.75100340677136
"184","Cox7a2","Ndufv3",4.74977410676047
"185","Rpl31","Rps13",4.74853332107341
"186","Drg1","Zc3h15",4.74726066661628
"187","Rpl32","Rpl18a",4.74368758328114
"188","Rpl7","Rplp1",4.74353561233215
"189","Atp5l","Uqcr11",4.74245268314894
"190","Rps4x","Rpl15",4.74133318541749
"191","Rpl32","Rps13",4.7407705953915
"192","Rpsa","Rpl27a",4.74029445661336
"193","Rpl37a","Rpl15",4.7384651836162
"194","Rps15","Rpl15",4.73841980841621
"195","Rpl32","Rpl37a",4.73805613281593
"196","Rpl37a","Rps15",4.73761084715943
"197","Rpl10a","Rps18",4.73410326510907
"198","Rpl15","Rpl18a",4.7336312061625
"199","Rpsa","Rps13",4.73091007166704
"200","Polr1b","Polr1a",4.72847905399294
"201","Rps3a1","Rpl15",4.72814921898998
"202","Rpsa","Rps19",4.72735464063021
"203","Cox7a2","Ndufa1",4.72680355837406
"204","Ndufv2","Ndufs7",4.72680327183889
"205","Atp5k","Atp5l",4.72417199457777
"206","Rpl32","Rpl9",4.72225711349665
"207","Cox6b1","Uqcr11",4.72203155008765
"208","Rpl9","Rpl27a",4.72001771902205
"209","Rps15","Rps19",4.7193317597264
"210","Rpl31","Rpl9",4.71846323754107
"211","Rps8","Rps20",4.71741816068743
"212","Rps15","Rps3a1",4.71676894239135
"213","Rpl32","Rps15",4.71569996552375
"214","Rpl31","Rpl32",4.71491720697622
"215","Rpl37a","Rpl36al",4.71477680099292
"216","Atp5f1","Cyc1",4.71264708329636
"217","Ndufb9","Ndufa12",4.71257428913896
"218","Rpsa","Rps3a1",4.71249892925175
"219","Ndufs8","Ndufv3",4.71181656740669
"220","Ndufa1","Ndufa3",4.71168965264951
"221","Rpl5","Rpl13a",4.70863403639646
"222","Uqcr11","Ndufb2",4.70829279300665
"223","Rpl31","Rps15",4.70812602816227
"224","Rps3a1","Rpl27a",4.70796351694366
"225","Rpl26","Rps5",4.70749136025893
"226","Rps5","Rpl13a",4.70681158182674
"227","Rps14","Rps10",4.70642757690734
"228","Ndufc1","Ndufs7",4.705847067592
"229","Rps19","Rpl13a",4.70334404085497
"230","Rpl5","Rpl36al",4.70085051273782
"231","Ndufb7","Ndufv2",4.70032943196088
"232","Rpl13a","Rpl18a",4.69981557394885
"233","Rpl5","Rps3a1",4.69872040677888
"234","Atp5j2","Ndufv3",4.69859224437869
"235","Ndufb11","Ndufa4",4.69836139177937
"236","Ndufb11","Atp5d",4.69612200919209
"237","Rpl32","Rps19",4.69555831129082
"238","Cox7a2","Ndufb9",4.69418348234331
"239","Hdac2","Sin3a",4.69306940788351
"240","Rps21","Rps13",4.69129758775421
"241","Rpl10a","Rpl9",4.6904338828906
"242","Rpl37a","Rpl13a",4.68985952775097
"243","Uqcr11","Ndufb8",4.68726800952891
"244","Rpl7","Rpl13a",4.68413417179909
"245","Rpl32","Rplp1",4.68379898741728
"246","Rpl31","Rpl36al",4.6809176571428
"247","Smarca4","Smarcd1",4.68041995483145
"248","Rps19","Rplp1",4.67980940773191
"249","Rpl10a","Rpl32",4.67976687406531
"250","Cox7a2","Ndufa4",4.67893502770312
"251","Atp5j2","Ndufc1",4.6786084798473
"252","Rpl9","Rpl13a",4.67832133612069
"253","Rps8","Rpl8",4.67826953487929
"254","Ndufb11","Atp5c1",4.67770823943556
"255","Rps17","Rpl35",4.67563685440496
"256","Rpl32","Rpl36al",4.6743454673981
"257","Ndufb8","Ndufs7",4.67257598721335
"258","Atp5j2","Atp5e",4.67123097514082
"259","Atp5j2","Ndufa5",4.67083193679787
"260","Atp5j","Ndufc1",4.6707622257527
"261","Rps4x","Rpl4",4.66486354311019
"262","Ndufb9","Ndufa5",4.66452774030404
"263","Rpl7","Rpl36al",4.66387582486414
"264","Rpl10a","Rpl13a",4.66230809164813
"265","Rps3","Rps10",4.66198242896485
"266","Ndufa1","Atp5j2",4.66160157952891
"267","Cyc1","Sdha",4.66025204494213
"268","Polr2a","Polr2b",4.65984033423933
"269","Actr2","Actr3",4.65930073142385
"270","Rplp1","Rps13",4.65760436032861
"271","Rps4x","Rps21",4.65730209821663
"272","Rpl7","Rps24",4.65612777775095
"273","Uqcr11","Ndufa5",4.65585608575429
"274","Psmc1","Psmd2",4.65418321870652
"275","Ndufs2","Ndufs3",4.65321174906671
"276","Smc5","Nsmce1",4.65258111114713
"277","Rpl31","Rpl15",4.65138221024768
"278","Rps17","Rps11",4.65034557007152
"279","Rps15","Rplp1",4.6497502461159
"280","Rps4x","Rpl36al",4.64803716086249
"281","Ndufc1","Ndufb7",4.6472012025215
"282","Rps17","Rpl18a",4.64709925360239
"283","Ndufa5","Ndufv2",4.64685937429613
"284","Rps19","Rpl15",4.64524632940538
"285","Mcm5","Mcm6",4.64480344769731
"286","Psmd14","Psmd6",4.64445514247222
"287","Cs","Mdh2",4.64401156251733
"288","Rps15","Rps13",4.64352341914787
"289","Rps5","Rpl18a",4.64338934576222
"290","Rpsa","Rps14",4.64328605910896
"291","Rps19","Rps5",4.64272411680327
"292","Rpl27a","Rpl36al",4.64098610310361
"293","Cox6b1","Cox5a",4.63825353892071
"294","Rps15","Rpl8",4.63706035177006
"295","Rpsa","Rpl15",4.63661497641965
"296","Atp5a1","Ndufs8",4.63657492975085
"297","Rpl36al","Rps13",4.63586534929891
"298","Ndufs1","Sdha",4.6352982637618
"299","Rps11","Rps10",4.63282965854
"300","Rps14","Rps3",4.63086128235
"301","Ndufb6","Ndufb9",4.62965568304617
"302","Atp5j","Ndufb9",4.62919974028159
"303","Rps19","Rpl36al",4.62836896440012
"304","Ndufb9","Cyc1",4.62825789605199
"305","Snrpe","Snrpg",4.62776286110648
"306","Cct3","Cct4",4.62637563307112
"307","Atp5j2","Ndufb9",4.62603937827043
"308","Ndufs8","Ndufb2",4.6248272350042
"309","Rps19","Rps3a1",4.62399778001031
"310","Rps4x","Rpl8",4.62329195338566
"311","Rpl13a","Rps11",4.62059951576384
"312","Ndufa1","Uqcrb",4.61948386695622
"313","Rpl32","Rps24",4.61818511660113
"314","Polr2a","Polr2i",4.61796081009447
"315","Rps18","Rpl4",4.61794339786184
"316","Rpl37a","Rpl35",4.61755036922705
"317","Cct3","Cct8",4.61752243167075
"318","Rpl26","Rps26",4.61627483876191
"319","Cs","Sdha",4.6154812593536
"320","Atp5l","Ndufa3",4.61538991438965
"321","Rpsa","Rpl32",4.61371472463475
"322","Rpsa","Rps21",4.6117766799066
"323","Uqcr11","Sdhb",4.61047199079167
"324","Atp5k","Ndufa4",4.6092183872056
"325","Rpl18","Rps18",4.60849130634051
"326","Rps18","Rpl8",4.60727474871237
"327","Atp5k","Ndufa5",4.60629644424716
"328","Arcn1","Copb2",4.60617778139544
"329","Sdha","Sdhb",4.6058858182912
"330","Rpl9","Rpl36al",4.6058781189231
"331","Rplp1","Rpl36al",4.60581478669837
"332","Rpl5","Rpl8",4.60456406231469
"333","Cox6b1","Cyc1",4.60282149832528
"334","Atp5c1","Cox7a2",4.60247191220515
"335","Rps17","Rps20",4.60237771247148
"336","Rpl36al","Rpl18a",4.60142959912423
"337","Ndufa1","Uqcr11",4.6012731526364
"338","Uqcr11","Atp5e",4.60119325744176
"339","Rpl35","Rps10",4.60101421807508
"340","Ndufb5","Uqcr11",4.60042596519907
"341","Rpl26","Rps4x",4.59949701303026
"342","Atp5k","Ndufa3",4.59807045659772
"343","Uqcr11","Ndufv3",4.59651017597139
"344","Sdhc","Sdha",4.59625156102402
"345","Rps18","Rps3a1",4.59622754568227
"346","Rpl10a","Rps13",4.59571254013508
"347","Ndufb6","Ndufa1",4.59549114707306
"348","Ndufb8","Uqcrb",4.59510978431422
"349","Rpl32","Rps3a1",4.59477273915127
"350","Uqcr11","Ndufb7",4.59376797243067
"351","Rpl7","Rps3a1",4.59318691200451
"352","Rpl31","Rps24",4.59267204450316
"353","Uqcrb","Atp5h",4.59080615554535
"354","Rpl10a","Rpl36al",4.58350644635311
"355","Rpl37a","Rps18",4.58307710840495
"356","Ndufc1","Uqcrb",4.58276290502454
"357","Rpl7","Rpl35",4.58045775684036
"358","Ndufa7","Uqcr11",4.58044151985428
"359","Vbp1","Pfdn5",4.58039437256298
"360","Minos1","Ndufb9",4.58029044424211
"361","Rpl37a","Rps21",4.5802038942802
"362","Gtf2h1","Gtf2h2",4.57980435409422
"363","Pfdn4","Pfdn1",4.57937345042797
"364","Ndufa12","Ndufb7",4.57778863916405
"365","Cyc1","Uqcrc2",4.57655486769113
"366","Cox6b1","Atp5h",4.5759947269587
"367","Polr3a","Polr3h",4.57593349153422
"368","Pfdn4","Vbp1",4.57515732276693
"369","Rpl10a","Rps14",4.57514068245405
"370","Rpl7","Rpl15",4.57498475945499
"371","Pfdn4","Pfdn2",4.57474771228817
"372","Rpsa","Rpl9",4.57415236926886
"373","Ndufv1","Ndufs3",4.57355776427926
"374","Ndufa1","Atp5h",4.57282856211646
"375","Atp5f1","Cycs",4.57253160170967
"376","Smarcc2","Smarcd1",4.569220085795
"377","Rpl26","Rps11",4.56780744535263
"378","Rps19","Rps10",4.56723618913975
"379","Ndufb5","Sdhb",4.56620168984205
"380","Vps4b","Chmp2a",4.5659240193761
"381","Rpl31","Rps3a1",4.56591475125515
"382","Hat1","Rbbp4",4.56574931727528
"383","Pfdn5","Pfdn1",4.56498175497177
"384","Ndufc1","2010107E04Rik",4.56483945712671
"385","Sptan1","Sptbn1",4.56464316083452
"386","Supt4a","Supt5",4.56396044707435
"387","Pfdn2","Pfdn1",4.56376344303817
"388","Pfdn4","Pfdn5",4.56360771513664
"389","Pfdn2","Vbp1",4.56316725078523
"390","Rps17","Rps10",4.56260524166646
"391","Pfdn2","Pfdn5",4.56168681644476
"392","Rps14","Rplp1",4.56100061242455
"393","Rps3a1","Rps5",4.55959708128148
"394","Uqcrq","Uqcr11",4.55838852221109
"395","Psmb4","Psmd14",4.55773408842037
"396","Vbp1","Pfdn1",4.55547177145786
"397","Exosc9","Exosc3",4.55494423012919
"398","Rps4x","Rps8",4.55444907874744
"399","Arpc1a","Actr3",4.55408467692314
"400","Hat1","Rbbp7",4.5527094489878
"401","Rps18","Rps3",4.55251575622538
"402","Tmed4","Tmed2",4.55042172429535
"403","Cox6b1","Ndufs7",4.55017979555714
"404","Rpl37a","Rps5",4.5500037489935
"405","Rpl32","Rpl13a",4.5497269406394
"406","Rplp1","Rps21",4.54836397488657
"407","Cox5a","Ndufb8",4.54797885204493
"408","Polr2a","Polr2g",4.54761734451336
"409","Psmc3","Psmc6",4.54751192865137
"410","Rplp0","Rps5",4.5462841523497
"411","Anapc10","Cdc16",4.54604058811924
"412","Rpl9","Rplp1",4.54455787088023
"413","Sdhb","Ndufs3",4.54238515584689
"414","Cdk8","Ccnc",4.54228907087622
"415","Sdhb","Ndufs7",4.54080140045812
"416","Pdha1","Pdhb",4.54067067387246
"417","Smarca4","Smarcc2",4.5392514631701
"418","Rpl9","Rps21",4.53903666954466
"419","Rpl32","Rps21",4.53822043255491
"420","Ndufa3","Ndufc1",4.53732438330962
"421","Sucla2","Suclg1",4.53694690200768
"422","Pgk1","Tkt",4.53674417304796
"423","Rpl27a","Rpl8",4.53658520364138
"424","Eno1","Gapdh",4.53459218589364
"425","Polr1b","Polr3a",4.53428486323878
"426","Smarca4","Actl6a",4.53422136971722
"427","Rpl37a","Rps11",4.53313551130032
"428","Rps18","Rpl35",4.53313047322081
"429","Polr1c","Polr3a",4.53265658448618
"430","Cops5","Cops6",4.53115291155223
"431","Idh3g","Pdha1",4.53038590984488
"432","Ndufs2","Ndufv2",4.53016462205505
"433","Atp5j2","Uqcrh",4.52969442064887
"434","Rps3a1","Rpl36al",4.52939371126513
"435","Smarca4","Arid1a",4.52937728989923
"436","Atp5j2","Atp5h",4.52911590771691
"437","Ndufs3","Ndufv2",4.52852643318693
"438","Atp5k","Ndufc1",4.52846154385225
"439","Atp5k","Atp5h",4.52817737347709
"440","Polr2a","Polr2f",4.528017032854
"441","Rpl18","Rps10",4.52780541064931
"442","Atp5e","Uqcc2",4.52752188856857
"443","Rpl32","Rpl15",4.52642127863555
"444","Crcp","Polr3k",4.52555989388566
"445","Ndufb5","Ndufc1",4.52505618302166
"446","Rps11","Rps20",4.52469658121481
"447","Crcp","Polr3a",4.52294362262774
"448","Rps14","Rps11",4.52226041760377
"449","Polr2f","Polr2i",4.52114368657544
"450","Polr3a","Polr3k",4.52054549069635
"451","Rpl26","Rps3",4.51970914438311
"452","Atp5k","Ndufb2",4.51967452493909
"453","Rpl7","Rpl8",4.51925695758541
"454","Polr1c","Polr1a",4.51797146217564
"455","Rpl13a","Rpl8",4.51782110165641
"456","Psma2","Psma1",4.51751507053905
"457","Rplp0","Rpl10a",4.51743023357994
"458","Rps3a1","Rpl4",4.51742835741948
"459","Cox7a2","Atp5h",4.51729924644951
"460","Rps4x","Eif5a",4.51484106364228
"461","Ndufa9","Uqcrfs1",4.51171979386936
"462","Alb","Apoa2",4.51154888797191
"463","Rps17","Rps3a1",4.51060447968985
"464","Arpc1a","Arpc2",4.51014108253412
"465","Atxn2l","Lsm12",4.50988999668743
"466","Rpl5","Eif5a",4.50974291164403
"467","Rplp0","Rpl4",4.50946311665757
"468","Rpl27a","Rps21",4.50910111022586
"469","Rps3a1","Rplp1",4.50899384851232
"470","Rplp0","Rpl8",4.50851846995442
"471","Drg1","Rwdd1",4.50792187234083
"472","Ndufb11","Ndufa12",4.50661639261557
"473","Rps21","Rpl36al",4.5054997597349
"474","Rpl37a","Rps26",4.50518404703371
"475","Cox7a2","Ndufb8",4.50434163938348
"476","Rpl8","Rpl15",4.50388249670846
"477","Ndufb11","Ndufa13",4.50343611495259
"478","Cox5a","Uqcrb",4.50342853483698
"479","Rpl15","Rps13",4.50340286740266
"480","Rpl13a","Rpl27a",4.50297846745116
"481","Cox6b1","Ndufv3",4.50221172544752
"482","Ube2i","Sumo1",4.50198563922618
"483","Pole3","Chrac1",4.50155873434255
"484","Rps19","Eif5a",4.50087516085523
"485","Rps18","Rpl13a",4.50072155942394
"486","Rps14","Rpl4",4.50066734062079
"487","Arpc5","Actr3",4.50022060763854
"488","Rpl8","Rps13",4.49992765535512
"489","Rpl13a","Rplp1",4.49927075420237
"490","Uqcrb","Ndufv3",4.49878509940845
"491","Rps3a1","Eif5a",4.49827819473376
"492","Rps18","Rpl18a",4.49765124093051
"493","Rpl10a","Eif5a",4.4970981477577
"494","Arpc3","Arpc5l",4.49701278206521
"495","Rbbp4","Rbbp7",4.49634842926616
"496","Rps17","Rps19",4.4960692329912
"497","Ndufb5","Ndufa12",4.49497024677589
"498","Rps24","Rps4x",4.49480714426159
"499","Arpc1a","Actr2",4.49414545680133
"500","Cct3","Cct7",4.49340603506198
"501","Rps3a1","Rpl39",4.49235206152321
"502","Ndufb11","Ndufb7",4.49180155238628
"503","Ndufa1","Ndufc1",4.49124626925641
"504","Rcor1","Kdm1a",4.49116202935124
"505","Arpc5l","Arpc2",4.49115733620965
"506","Ndufb7","Ndufb2",4.49111572759216
"507","Uqcrfs1","Sdhb",4.49083295489368
"508","Rpl37a","Rps14",4.48957976223005
"509","Polr2b","Polr2i",4.48936991946539
"510","Rpl26","Rpl9",4.48871725013396
"511","Lsm3","Lsm6",4.48817925041817
"512","Rpl26","Rps10",4.48795039031711
