CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
ABCG5	0	0	0	0	0	0	0	0	2	1	1	0
ABCG8	2	0	0	2	0	0	2	1	1	0	1	7
ABHD1	6	1	4	12	14	13	1	0	0	8	7	12
ABHD10	156	166	167	790	732	758	66	83	95	388	366	438
ABHD11	54	71	73	529	483	422	12	7	13	180	174	179
ABHD11-AS1	1	3	0	1	0	1	3	5	5	0	1	3
ABHD12	239	250	299	1245	1258	1091	91	107	121	504	525	615
ABHD12B	0	1	0	0	0	6	2	0	1	1	3	1
ABHD13	136	194	176	660	679	510	131	202	115	391	391	441
ABHD14A	38	41	30	222	237	207	13	5	20	95	74	103
ABHD14A-ACY1	0	0	1	1	0	0	0	0	0	0	0	0
ABHD14B	44	31	50	158	163	143	22	25	46	123	123	158
ABHD15	12	13	18	73	97	84	15	20	18	62	55	77
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	4	10	10	16	16	15	6	7	1	8	12	11
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	78	79	91	273	188	253	12	23	7	120	145	149
ABHD17AP1	0	1	0	0	2	3	0	0	0	2	2	0
ABHD17AP3	0	1	0	0	0	0	0	0	0	1	0	0
ABHD17AP4	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	0	0	0	0	1	1	0	0
ABHD17AP6	0	0	0	1	0	1	1	0	1	0	0	1
ABHD17B	151	219	228	428	426	350	125	156	179	188	169	203
ABHD17C	40	30	51	118	128	114	24	30	27	44	47	49
ABHD18	194	239	255	727	736	675	150	153	166	570	578	611
ABHD2	297	426	409	1440	1610	1270	143	160	194	593	589	590
ABHD3	56	47	59	228	203	117	21	29	27	101	132	118
ABHD4	316	360	387	1661	1588	1434	189	316	312	666	677	852
ABHD5	51	47	70	250	194	170	75	44	54	109	84	115
ABHD6	70	85	72	182	175	176	35	35	47	98	105	132
ABHD8	90	115	125	337	243	339	48	59	78	149	144	192
ABI1	265	340	326	1017	981	794	612	655	693	563	611	590
ABI2	503	656	590	2669	2766	2311	360	437	369	1269	1292	1476
ABI3	6	2	8	10	22	10	5	4	5	7	3	8
ABI3BP	10	14	13	32	17	19	2	4	1	5	2	6
ABL1	761	937	996	2550	2602	2390	685	921	856	910	968	1076
ABL2	410	559	551	876	754	618	694	1069	764	238	280	304
ABLIM1	2062	2634	2497	8984	9294	7564	908	1185	1014	5256	5338	5844
ABLIM2	35	48	58	141	200	164	9	18	20	82	62	85
ABLIM3	17	40	17	110	76	95	10	10	7	39	43	44
ABO	4	9	12	19	14	10	1	3	1	6	9	19
ABR	404	552	518	2007	2118	1873	267	334	328	1027	982	1101
ABRA	4	12	12	24	27	25	49	68	68	19	7	13
ABRACL	69	58	67	314	243	239	53	49	49	114	118	145
ABRAXAS1	95	132	124	459	480	402	31	35	43	362	299	339
ABRAXAS2	292	375	316	656	633	544	160	173	195	361	329	387
ABT1	321	365	355	1213	1165	1121	179	229	220	491	549	595
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	25	35	39	138	135	139	11	19	17	85	89	111
ABTB2	276	362	359	847	854	783	96	129	97	306	326	265
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	4	2	1	17	23	19	0	2	6	7	9	16
AC000068.2	1	4	0	14	7	6	1	0	0	0	1	3
AC000068.3	0	1	1	16	9	5	1	2	1	5	8	3
AC000077.1	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.1	0	0	0	0	1	0	0	0	0	0	0	0
AC000081.1	0	0	0	0	0	0	1	2	2	2	2	4
AC000089.1	0	1	0	1	1	4	0	0	2	3	2	3
AC000095.1	0	0	0	5	0	2	0	0	0	0	0	0
AC000111.3	0	0	0	2	0	0	0	0	0	0	0	0
AC000120.1	4	2	2	4	5	3	1	0	0	4	2	6
AC000123.2	2	4	1	0	2	2	1	4	2	4	4	7
AC000123.3	7	18	23	21	20	14	4	7	6	20	18	21
AC000367.1	0	0	0	0	0	0	0	2	0	0	0	0
AC000403.1	9	9	7	52	47	14	0	0	0	11	11	16
AC001226.1	0	0	0	2	0	0	0	0	0	0	0	0
AC001226.2	1	1	3	0	0	0	1	1	0	0	1	3
AC002044.1	0	0	0	0	0	2	0	0	0	0	0	0
AC002044.2	0	0	0	0	0	1	0	0	0	1	0	0
AC002044.3	0	0	0	0	0	0	0	0	0	0	0	0
