CM_D1_cov2_1	CM_D1_cov2_2	CM_D1_cov2_3	CM_D1_Mock_1	CM_D1_Mock_2	CM_D1_Mock_3	CM_D2_cov2_1	CM_D2_cov2_2	CM_D2_cov2_3	CM_D2_Mock_1	CM_D2_Mock_2	CM_D2_Mock_3
AC079776.3	2	2	2	9	4	9	0	2	0	3	2	7
AC079777.1	0	0	1	0	0	0	0	0	1	2	0	2
AC079779.2	0	0	0	0	0	0	5	5	1	0	0	0
AC079780.1	0	0	0	8	8	1	1	0	0	5	1	7
AC079781.3	0	0	0	0	1	0	0	0	0	0	1	0
AC079789.1	0	4	0	6	5	3	0	0	0	1	3	4
AC079795.1	1	3	5	2	4	7	2	0	1	6	0	1
AC079807.2	5	1	4	14	19	13	6	0	4	13	9	17
AC079809.1	0	0	0	0	0	0	0	0	0	0	0	0
AC079834.1	0	0	0	0	1	0	0	0	0	0	1	1
AC079834.2	5	7	10	28	45	40	4	3	2	16	10	13
AC079848.1	0	0	5	6	8	10	1	0	0	3	3	2
AC079858.1	0	0	0	0	0	0	0	0	0	0	0	0
AC079866.2	0	0	0	0	0	0	0	0	0	0	0	0
AC079880.1	0	0	0	0	0	0	0	0	0	0	0	0
AC079905.1	0	0	0	0	0	0	0	0	0	0	1	0
AC079906.1	0	0	0	0	0	1	0	0	0	2	0	2
AC079907.1	0	0	0	0	0	0	0	0	0	0	0	0
AC079910.1	0	0	0	0	0	0	0	0	0	1	0	0
AC079915.1	0	0	0	0	0	0	0	0	0	0	0	1
AC079921.1	0	0	0	1	0	0	0	3	0	0	0	0
AC079921.2	1	0	1	0	6	6	2	0	1	1	3	3
AC079922.1	0	0	1	1	0	0	1	1	0	0	0	2
AC079922.2	6	2	4	33	24	21	2	1	1	6	11	10
AC079942.1	0	0	0	0	0	0	0	0	0	0	0	1
AC079944.1	0	0	0	2	0	3	0	1	1	1	0	1
AC079944.2	1	2	0	1	0	2	1	1	1	1	2	0
AC079949.1	0	0	0	0	0	0	0	0	0	1	0	2
AC079949.2	0	1	0	5	6	0	0	0	0	1	4	4
AC079950.1	0	0	0	0	0	0	0	0	1	0	0	0
AC079953.1	0	0	0	0	0	0	0	0	0	0	0	0
AC080011.1	0	0	0	0	0	0	0	0	0	0	0	0
AC080013.1	3	2	3	24	9	13	2	2	0	11	4	5
AC080013.2	0	0	0	0	0	0	0	0	0	0	0	0
AC080013.3	0	0	0	1	0	0	0	0	0	0	0	0
AC080013.4	0	0	0	0	0	0	0	0	0	0	0	0
AC080013.5	0	0	0	4	4	4	0	0	0	0	3	0
AC080013.6	2	0	1	4	7	0	0	0	0	3	0	7
AC080014.1	0	0	0	6	3	0	0	1	0	1	4	0
AC080023.1	0	4	2	5	5	1	1	0	0	1	1	6
AC080023.2	0	0	0	0	0	0	0	0	0	1	0	1
AC080038.1	4	3	3	16	15	22	1	3	1	14	9	20
AC080038.2	0	0	0	0	1	2	5	13	9	0	3	3
AC080038.3	0	0	0	0	0	0	0	0	0	0	0	0
AC080075.1	0	0	0	0	0	0	0	0	0	0	0	0
AC080078.1	0	0	0	0	0	0	5	8	5	0	0	0
AC080078.2	0	0	0	0	1	0	1	4	2	0	1	2
AC080078.3	0	0	0	2	0	0	1	1	1	0	0	0
AC080079.1	0	1	0	0	0	0	0	1	0	0	0	0
AC080080.1	3	6	1	12	9	16	1	2	0	10	7	7
AC080080.2	0	0	0	0	0	0	0	0	0	0	0	0
AC080100.1	0	0	0	0	0	0	0	0	1	1	0	0
AC080112.1	0	0	0	0	2	4	0	0	0	0	3	0
AC080112.2	25	29	31	180	153	154	5	2	2	52	66	41
AC080112.4	0	0	0	0	0	0	0	0	0	0	0	0
AC080125.1	0	0	0	0	0	0	0	0	0	0	0	1
AC080128.1	2	0	0	0	0	0	3	1	4	0	1	4
AC080129.2	1	2	0	1	0	2	0	0	0	1	0	4
AC080162.1	0	0	0	0	1	0	0	0	0	0	3	0
AC080188.1	0	0	0	0	0	0	0	4	1	0	0	0
AC080188.2	0	0	0	0	0	0	0	0	0	0	0	0
AC080188.3	1	2	2	7	7	1	5	5	5	3	4	2
AC082651.1	0	0	0	0	0	0	0	0	0	0	0	0
AC082651.2	0	0	0	1	0	0	0	0	0	0	0	0
AC082651.3	0	0	0	0	0	0	0	0	0	3	0	0
AC082651.4	0	0	0	0	0	0	0	0	0	0	0	0
AC083795.1	0	0	0	0	0	0	0	0	0	0	0	0
AC083795.2	0	0	0	0	0	0	0	0	0	0	0	0
AC083798.1	0	0	0	0	0	0	1	0	0	0	0	0
AC083798.2	12	10	14	58	85	78	3	7	11	32	37	59
AC083799.1	16	19	22	65	79	83	9	3	2	25	25	46
AC083805.1	2	0	2	9	5	0	0	0	0	0	3	3
AC083805.2	1	2	0	5	7	10	0	0	1	0	1	0
AC083805.3	1	1	0	12	25	17	0	0	0	2	5	9
AC083806.2	0	0	0	0	0	0	0	0	0	0	0	0
AC083806.3	0	1	0	1	0	3	0	0	0	0	0	0
AC083809.1	0	0	0	0	0	0	5	0	2	0	1	0
AC083829.1	1	0	0	5	5	5	0	0	0	0	2	2
AC083837.1	0	0	0	0	2	0	1	0	0	0	0	0
AC083841.1	0	0	0	0	0	0	0	1	1	0	0	0
AC083841.2	0	0	0	0	0	0	0	0	0	0	0	0
AC083843.1	0	0	0	0	1	0	0	0	0	1	1	0
AC083843.2	74	93	101	198	220	187	39	35	45	212	229	268
AC083843.3	12	11	21	27	27	12	8	17	10	20	14	27
AC083862.1	0	0	0	1	0	0	0	0	0	0	1	0
AC083862.2	1	2	2	2	1	1	3	0	0	2	0	0
AC083863.1	0	0	0	0	0	0	0	0	0	0	0	0
AC083864.1	0	0	0	0	0	0	0	0	0	0	0	0
AC083864.3	0	0	0	0	0	0	0	0	1	0	0	0
AC083867.1	0	0	1	5	3	0	0	0	0	2	1	2
AC083873.1	3	5	3	11	3	6	2	1	1	11	5	8
AC083880.1	1	0	2	18	18	18	10	14	8	3	16	8
AC083899.1	3	2	4	14	6	3	2	3	1	5	12	12
AC083899.2	0	0	0	0	0	0	0	0	0	0	0	0
AC083900.1	0	0	0	0	0	1	0	0	0	0	0	0
AC083902.2	0	0	0	2	7	0	21	36	29	0	0	0
AC083904.1	0	0	0	0	0	0	0	0	0	1	0	0
AC083906.3	0	0	0	5	13	0	0	0	0	0	0	2
AC083906.4	0	0	0	0	0	0	1	0	0	0	0	0
AC083923.2	5	0	4	13	2	5	1	0	5	10	2	7
AC083949.1	1	0	0	0	6	2	1	3	2	0	0	1
AC083964.1	0	2	0	5	11	10	14	5	12	13	5	6
AC083964.2	0	4	5	3	2	1	0	1	0	3	0	0
AC083967.1	0	0	0	0	0	0	0	0	0	0	0	0
AC083973.1	0	0	0	0	0	0	0	0	4	0	0	0
AC083982.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084017.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084018.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084018.2	0	2	2	7	9	13	4	0	2	3	6	5
AC084024.1	0	0	0	0	0	0	0	0	1	1	0	0
AC084024.2	0	0	0	1	0	0	0	1	0	0	0	0
AC084024.3	0	0	0	0	0	0	1	3	2	0	0	0
AC084026.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084026.2	0	0	0	0	0	0	0	0	0	0	0	0
AC084033.1	1	0	0	0	2	0	1	0	1	0	0	1
AC084033.2	0	0	0	0	0	0	0	0	0	0	0	0
AC084033.3	37	53	46	299	283	318	16	11	9	154	174	217
AC084035.1	0	0	0	3	1	0	0	0	0	0	0	4
AC084036.1	1	2	3	15	10	5	0	4	6	1	8	11
AC084082.1	0	0	0	5	3	3	5	1	2	1	4	0
AC084083.1	0	0	0	0	0	0	0	0	0	1	0	0
AC084116.1	0	0	0	1	1	0	0	0	0	0	0	0
AC084116.2	0	0	0	0	0	0	0	0	0	1	0	0
AC084116.3	0	0	0	5	0	4	0	0	0	2	0	3
AC084116.4	0	0	0	0	3	1	0	2	0	1	1	0
AC084117.1	0	0	1	0	0	0	0	0	0	0	0	0
AC084125.1	0	0	0	0	0	0	0	0	0	0	1	0
AC084125.2	8	12	4	55	49	33	2	6	9	40	37	29
AC084125.4	2	1	3	6	4	15	0	0	0	2	5	2
AC084149.1	0	0	0	0	0	0	0	0	0	1	0	0
AC084198.1	0	0	0	0	0	0	0	0	1	0	0	0
AC084200.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084211.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084251.1	0	0	0	0	0	0	1	0	0	0	0	1
AC084262.1	0	0	0	0	1	0	0	0	0	0	0	0
AC084290.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084337.1	0	2	1	8	7	2	0	0	2	1	0	0
AC084346.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084346.2	0	0	0	1	1	0	0	0	1	0	1	0
AC084357.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084357.3	7	4	13	18	10	12	2	2	2	16	12	7
AC084398.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084398.2	0	0	0	0	0	0	0	0	0	0	0	0
AC084754.1	0	0	0	0	0	0	0	0	0	2	0	0
AC084757.1	0	1	0	4	7	5	1	0	2	6	1	6
AC084757.2	0	0	0	0	1	0	0	0	0	0	0	0
AC084757.3	1	2	3	13	7	6	0	0	0	1	0	1
AC084757.4	0	0	0	1	0	0	0	0	0	0	0	0
AC084759.3	0	0	2	0	0	0	1	0	1	2	0	0
AC084781.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084782.1	0	0	1	0	0	0	0	0	0	0	0	0
AC084782.2	0	0	0	6	1	1	0	0	0	0	0	0
AC084782.3	0	0	0	3	1	1	0	0	0	0	0	1
AC084783.1	0	0	0	0	0	0	0	0	0	0	0	0
AC084809.1	0	1	2	3	8	0	2	0	0	1	6	0
AC084809.2	0	0	1	0	2	0	0	0	0	2	1	0
AC084816.1	5	1	1	4	10	6	5	3	2	2	2	2
AC084819.1	0	0	0	0	2	0	0	0	0	0	0	0
AC084824.1	19	25	25	31	39	18	47	62	66	20	34	29
AC084824.2	0	0	0	0	0	0	0	0	0	0	0	0
AC084824.3	6	4	3	5	5	1	0	1	0	2	5	4
AC084824.4	3	8	1	6	10	0	3	0	0	6	5	9
AC084824.5	12	5	7	12	8	4	22	31	35	3	6	5
AC084855.1	0	0	0	0	5	2	0	0	1	1	1	0
AC084855.2	0	0	0	0	0	0	0	0	0	0	0	0
AC084876.1	0	0	0	0	0	0	0	0	0	0	1	0
AC084876.2	3	0	1	3	7	1	0	1	1	1	2	1
AC084878.1	0	0	0	0	0	0	0	1	0	0	0	0
AC084880.1	2	1	2	23	15	10	337	468	423	5	12	8
AC084880.4	0	0	0	0	0	0	1	1	0	0	0	0
AC084882.1	0	0	0	0	0	0	0	0	3	0	0	0
AC087045.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087071.1	0	0	0	0	2	0	0	0	0	0	0	1
AC087071.2	0	0	1	0	0	0	0	1	2	0	0	0
AC087072.1	0	0	0	0	0	0	1	0	0	0	0	0
AC087072.2	0	0	0	0	0	0	0	0	0	0	0	1
AC087163.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087163.2	0	0	0	1	4	0	0	1	1	2	4	0
AC087163.3	2	1	4	1	3	0	0	1	0	0	0	0
AC087164.1	0	0	0	0	4	0	0	0	0	0	1	0
AC087164.2	0	0	0	0	0	0	0	0	0	1	1	4
AC087190.1	0	3	2	1	8	4	0	0	2	3	2	3
AC087190.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087190.3	0	0	0	0	0	0	0	0	0	0	0	0
AC087203.3	0	0	0	0	0	0	0	0	0	0	0	0
AC087222.1	1	1	9	6	7	4	0	0	2	2	3	4
AC087235.1	0	0	0	0	0	1	0	0	0	0	0	0
AC087239.1	2	1	0	1	4	3	1	0	2	1	0	1
AC087241.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087241.3	0	0	0	4	1	1	0	0	0	1	0	0
AC087241.4	0	0	0	0	0	0	0	0	0	3	0	0
AC087257.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087257.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087258.1	0	1	0	0	0	0	0	0	0	0	1	1
AC087269.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087272.1	0	0	0	0	2	0	0	0	0	0	0	0
AC087276.1	2	0	4	2	0	1	0	0	0	1	0	3
AC087276.2	0	0	1	0	3	2	0	1	0	3	4	0
AC087276.3	0	0	0	0	2	0	0	0	0	0	0	2
AC087276.4	0	0	0	0	0	0	0	0	0	0	0	0
AC087277.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087280.1	0	0	1	0	3	0	0	0	0	0	0	0
AC087280.2	2	0	4	12	7	8	3	5	1	2	2	1
AC087283.1	0	0	0	0	0	1	1	0	0	2	0	1
AC087284.1	0	0	0	0	3	0	0	0	0	0	0	0
AC087286.3	0	0	0	0	0	2	0	0	0	0	0	0
AC087286.4	2	0	0	0	0	1	0	0	0	0	1	0
AC087289.1	2	1	0	1	0	0	0	0	2	0	1	0
AC087289.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087289.3	0	0	0	1	2	2	0	0	1	0	1	1
AC087289.5	0	0	0	0	0	2	0	0	0	0	0	0
AC087292.1	0	0	1	0	4	0	0	0	0	0	0	0
AC087294.1	6	9	6	10	9	13	1	3	1	2	5	4
AC087301.1	0	0	1	1	1	0	0	0	0	0	0	1
AC087311.1	0	1	0	1	1	1	0	1	0	0	0	1
AC087311.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087312.1	0	0	0	0	1	0	0	0	0	0	0	0
AC087318.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087343.1	5	1	2	7	11	13	0	2	2	4	2	11
AC087354.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087359.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087362.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087362.2	3	0	0	2	2	0	0	1	0	0	0	2
AC087369.1	0	0	0	0	0	1	0	0	0	0	0	1
AC087379.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087379.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087380.1	1	2	2	2	0	2	0	1	0	1	2	3
AC087385.1	0	0	0	0	0	0	0	0	1	0	0	1
AC087385.2	0	0	0	0	0	0	1	0	0	5	0	2
AC087386.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087388.1	6	2	4	36	18	26	18	31	24	7	20	8
AC087392.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087392.3	0	0	2	4	6	6	0	0	0	2	6	8
AC087392.4	3	2	1	2	5	1	0	1	3	2	5	5
AC087392.5	0	0	1	0	6	0	0	1	4	0	1	1
AC087393.1	1	2	0	0	1	0	0	0	0	1	0	0
AC087393.2	0	0	0	0	0	0	0	0	1	0	0	0
AC087439.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087441.1	0	0	0	0	0	0	1	0	0	0	0	0
AC087441.2	0	1	0	0	0	0	0	0	0	0	0	0
AC087442.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087457.1	4	2	6	16	40	19	4	4	9	5	5	11
AC087463.1	0	0	0	0	2	0	0	0	0	0	0	0
AC087463.4	0	0	0	0	2	0	0	0	0	0	0	0
AC087473.1	0	0	0	0	0	0	0	3	4	0	0	0
AC087477.1	0	0	0	3	1	1	0	0	0	0	0	0
AC087477.2	0	0	1	3	3	1	1	0	0	0	1	1
AC087477.4	0	0	0	0	0	0	0	0	0	0	1	0
AC087477.6	0	0	0	0	1	0	0	0	0	1	0	0
AC087481.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087481.2	0	0	0	0	3	0	1	0	0	0	0	1
AC087481.3	32	40	42	143	107	71	21	21	25	36	56	73
AC087482.1	0	0	0	2	4	6	5	6	5	0	2	4
AC087491.1	0	0	0	0	0	0	2	2	5	0	0	0
AC087499.1	6	7	10	17	31	27	2	5	8	10	8	9
AC087499.3	0	0	0	0	0	0	0	0	0	0	0	0
AC087499.5	0	0	0	2	0	2	0	0	1	0	0	0
AC087500.1	7	9	15	44	74	62	1	2	2	30	35	51
AC087501.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087501.3	0	0	0	0	0	0	0	0	0	0	0	0
AC087501.5	2	2	4	15	16	15	0	0	0	12	11	10
AC087516.2	0	0	0	0	2	3	0	0	0	2	2	1
AC087521.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087521.3	0	0	0	2	0	0	0	0	0	1	1	0
AC087521.4	0	0	0	0	0	0	0	0	0	0	0	0
AC087525.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087565.1	0	0	0	3	0	0	0	0	0	0	0	0
AC087575.1	0	0	0	1	0	0	0	0	0	0	0	0
AC087588.1	0	0	0	0	0	0	0	0	0	3	2	0
AC087588.2	6	4	9	46	59	48	7	11	9	19	26	32
AC087612.1	0	0	0	0	0	0	3	1	1	0	0	0
AC087623.1	0	2	2	4	2	0	0	0	2	0	0	0
AC087623.2	0	0	0	1	0	0	7	3	1	3	0	0
AC087623.3	0	1	6	12	13	14	1	3	0	5	0	6
AC087623.4	3	4	6	1	5	5	2	2	1	2	4	1
AC087627.1	0	0	0	0	0	0	0	1	0	0	0	0
AC087632.1	0	0	0	2	0	1	0	0	0	0	0	0
AC087633.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087636.1	0	2	0	0	0	0	0	0	0	0	0	0
AC087639.1	0	1	0	0	0	0	0	0	0	2	0	1
AC087641.1	0	0	0	0	0	1	0	0	0	0	0	0
AC087645.2	2	0	0	1	0	0	0	0	0	0	0	0
AC087645.3	1	0	0	0	0	0	0	2	0	0	0	0
AC087650.1	0	0	0	2	0	2	2	0	0	2	2	0
AC087667.1	0	0	0	1	0	0	0	1	0	0	0	0
AC087672.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087672.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087672.3	0	0	0	0	0	0	0	0	0	0	0	0
AC087683.1	0	0	3	0	0	0	0	3	2	0	1	4
AC087683.2	0	0	0	0	0	0	0	0	0	0	0	0
AC087685.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087721.1	0	0	0	0	0	2	0	0	0	0	0	2
AC087741.1	12	11	19	65	86	69	5	8	3	48	65	74
AC087741.2	0	0	0	0	0	0	0	0	0	1	0	0
AC087741.3	1	1	5	2	2	15	0	0	0	2	0	1
AC087742.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087742.2	2	0	0	8	5	6	0	0	0	4	5	0
AC087749.2	0	0	0	0	0	0	1	0	0	0	0	0
AC087752.1	0	1	0	0	0	0	0	1	0	0	0	1
AC087752.3	6	4	8	32	25	32	2	1	1	10	13	8
AC087752.4	0	0	0	0	3	0	0	0	0	2	0	1
AC087761.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087762.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087763.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087783.2	40	54	27	144	198	182	17	14	10	72	76	84
AC087798.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087821.1	0	0	0	0	0	0	0	0	0	0	0	0
AC087854.1	0	0	0	0	0	0	8	4	7	0	0	0
AC087855.1	0	0	0	0	3	0	0	0	0	1	0	0
AC087857.1	0	0	0	0	0	0	0	0	1	0	0	0
AC087878.1	0	0	0	0	0	0	0	0	0	0	2	0
AC087879.1	0	0	0	0	0	1	0	0	0	0	0	0
AC087883.1	1	0	0	0	0	0	0	0	0	0	0	0
AC087885.1	0	0	1	0	1	0	0	0	0	1	2	1
AC087888.1	0	0	0	0	0	0	0	0	0	0	0	1
AC087893.1	0	0	0	2	0	0	0	3	0	0	0	0
AC087894.2	0	0	0	0	0	0	0	0	0	0	0	0
AC089983.1	0	0	0	0	1	4	0	1	1	0	0	1
AC089984.2	0	0	0	0	0	0	0	0	0	0	0	0
AC089984.3	0	0	0	0	0	0	0	0	0	0	0	0
AC089987.1	0	0	0	0	0	0	0	0	0	0	0	0
AC089998.1	2	0	0	0	0	0	0	0	0	0	1	0
AC089998.3	1	0	0	3	1	6	0	0	0	0	2	0
AC089999.2	0	0	0	0	0	0	0	0	0	0	0	0
AC089999.3	0	0	1	3	0	5	0	2	0	0	0	1
AC090001.1	0	0	0	1	4	0	0	0	2	0	0	2
AC090004.1	0	0	0	5	3	3	1	0	1	1	1	3
AC090013.1	0	1	0	1	0	1	0	2	2	0	0	1
AC090017.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090018.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090023.1	0	0	0	0	0	0	3	0	3	0	0	0
AC090023.2	0	1	1	0	0	0	1	5	2	0	0	0
AC090044.1	0	0	0	0	0	0	0	0	0	1	0	0
AC090049.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090058.1	0	0	0	0	1	2	0	0	0	1	1	1
AC090061.1	1	3	0	4	11	6	0	1	0	7	9	11
AC090071.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090092.1	1	0	0	0	0	0	1	0	0	0	0	2
AC090096.1	0	0	0	0	0	0	2	2	1	0	2	1
AC090099.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090099.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090099.4	0	0	0	0	0	0	1	4	0	0	0	0
AC090109.1	0	0	0	0	0	1	0	0	0	0	0	0
AC090114.1	0	0	0	1	1	1	0	1	0	1	1	1
AC090114.2	14	30	23	149	147	135	5	6	6	29	50	53
AC090114.3	1	1	3	4	5	3	1	1	4	0	1	4
AC090115.1	0	0	0	0	3	0	1	0	0	0	0	0
AC090124.1	2	0	0	0	3	0	0	0	0	0	0	0
AC090124.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090125.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090136.1	0	0	0	3	1	0	0	0	0	1	0	1
AC090142.1	0	0	0	0	0	1	0	0	0	0	0	0
AC090142.2	0	0	0	0	0	0	0	0	0	1	0	0
AC090151.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090152.1	34	32	32	166	145	149	5	8	12	90	69	92
AC090159.1	0	0	0	2	0	0	3	0	0	0	0	0
AC090164.2	0	1	0	1	1	1	0	0	1	3	2	2
AC090164.3	1	0	0	0	0	0	1	0	0	1	0	0
AC090164.4	0	0	0	0	0	0	0	0	0	0	0	1
AC090181.2	4	12	4	17	15	15	2	6	3	5	6	9
AC090181.3	3	9	11	18	27	20	2	2	2	15	25	19
AC090186.1	0	0	1	6	0	0	0	0	0	0	0	0
AC090192.2	0	0	0	0	3	0	0	0	0	0	0	0
AC090193.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090197.1	5	7	2	12	21	16	7	4	13	22	17	14
AC090198.1	2	3	3	3	12	9	7	6	3	3	4	7
AC090204.1	145	153	140	837	735	630	87	69	73	450	429	493
AC090206.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090220.1	0	0	0	3	0	0	0	0	0	0	0	0
AC090229.1	4	2	3	3	2	2	1	0	0	3	0	1
AC090236.1	0	0	0	0	1	0	0	0	0	0	1	1
AC090236.2	0	0	0	0	1	0	0	0	0	0	1	0
AC090241.1	0	0	0	0	0	0	0	0	0	1	0	0
AC090241.2	0	3	0	0	6	0	0	0	0	1	1	3
AC090241.3	7	11	3	8	5	4	2	5	0	2	1	2
AC090246.1	1	2	2	0	1	2	0	0	0	4	0	4
AC090255.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090260.1	3	3	1	5	16	5	0	0	1	3	6	1
AC090281.1	0	0	0	2	0	1	0	0	0	1	1	1
AC090282.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090286.1	0	0	0	0	0	0	0	5	5	0	0	0
AC090286.2	0	2	0	0	1	1	4	3	6	1	0	1
AC090286.3	0	0	0	0	0	0	0	0	0	0	0	0
AC090287.1	0	0	0	0	0	0	0	2	0	0	0	0
AC090311.1	0	0	0	0	1	0	0	0	0	0	0	0
AC090312.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090330.1	0	0	0	0	0	0	2	2	4	0	0	0
AC090337.1	0	0	0	0	0	0	0	0	0	1	0	0
AC090360.1	10	4	7	29	30	19	6	0	3	15	22	36
AC090373.1	0	1	0	0	0	0	0	0	0	0	0	0
AC090377.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090398.1	0	0	0	0	0	0	1	0	0	0	0	0
AC090403.1	0	0	0	0	2	5	0	0	0	1	1	4
AC090409.1	2	5	8	8	16	15	5	5	9	6	8	7
AC090409.2	0	0	0	0	0	1	0	0	0	2	1	0
AC090415.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090425.1	0	0	0	0	0	1	0	0	0	0	0	0
AC090425.2	1	2	2	0	0	0	1	0	0	1	0	1
AC090453.1	1	0	0	0	0	0	0	0	0	0	1	0
AC090458.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090502.1	0	1	0	1	0	0	0	0	2	0	0	2
AC090502.2	0	0	0	0	0	0	1	0	0	0	0	0
AC090502.3	0	0	0	0	0	0	0	0	0	0	0	0
AC090502.4	0	0	0	0	0	0	0	0	0	0	0	0
AC090503.1	1	0	3	0	0	1	1	0	0	2	5	0
AC090503.2	1	0	8	16	12	14	1	3	0	15	3	4
AC090505.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090510.1	0	3	1	2	5	5	0	0	0	3	2	2
AC090510.2	0	0	0	1	1	0	0	0	0	0	0	0
AC090510.3	1	0	2	2	3	3	0	0	0	1	0	0
AC090515.1	1	0	0	0	0	1	1	1	1	1	1	1
AC090515.2	0	5	8	28	25	20	0	1	1	13	5	4
AC090515.3	0	0	0	2	0	0	0	0	0	0	0	0
AC090515.4	0	0	3	2	0	0	5	3	7	0	0	0
AC090515.5	2	1	1	3	0	1	0	1	0	1	0	0
AC090517.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090518.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090519.1	1	0	0	0	0	0	0	0	0	1	3	1
AC090525.1	1	0	1	7	8	9	3	2	4	3	5	2
AC090525.2	0	0	0	1	3	0	0	0	1	0	1	0
AC090527.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090527.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090527.3	0	0	1	0	5	4	1	0	0	1	0	0
AC090539.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090541.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090543.1	1	0	0	2	0	2	0	0	0	4	0	0
AC090543.2	0	0	0	0	0	1	0	1	0	0	0	1
AC090559.1	0	0	0	1	0	0	1	6	3	1	0	0
AC090559.2	0	0	1	0	0	0	0	0	0	0	0	0
AC090568.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090568.2	0	0	0	0	3	0	0	0	0	0	1	5
AC090572.2	0	0	0	0	0	0	0	0	0	0	0	0
AC090572.3	0	0	0	0	0	0	0	0	0	0	0	0
AC090578.1	0	2	1	2	0	1	0	0	0	1	1	3
AC090579.1	0	0	1	2	1	4	0	0	0	0	2	0
AC090582.1	0	0	0	0	0	0	0	2	0	0	0	0
AC090587.1	0	0	0	3	1	0	0	0	0	1	0	0
AC090587.2	0	1	2	9	7	13	3	0	2	5	6	5
AC090589.1	1	2	4	3	10	6	1	1	1	6	5	2
AC090589.2	0	0	0	0	0	0	9	10	7	0	0	0
AC090589.3	6	9	7	5	20	14	0	0	1	10	6	8
AC090592.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090602.1	0	0	0	0	0	0	0	0	0	0	0	0
AC090607.1	0	0	0	0	0	0	1	0	0	0	0	0
AC090607.2	15	4	6	11	15	11	1	2	0	5	9	10
AC090607.3	0	0	0	1	0	1	0	0	0	0	0	1
